"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2015-01-03:05:00,2015-01-03,05,0.04,0.4,1.1,CALID-DE-AIRE-ANO-2015
2015-01-03:06:00,2015-01-03,06,0.04,0.4,1.3,CALID-DE-AIRE-ANO-2015
2015-01-03:07:00,2015-01-03,07,0.04,0.9,3.9,CALID-DE-AIRE-ANO-2015
2015-01-03:08:00,2015-01-03,08,0.05,5.6,7.5,CALID-DE-AIRE-ANO-2015
2015-01-03:09:00,2015-01-03,09,0.06,2.9,2.5,CALID-DE-AIRE-ANO-2015
2015-01-03:10:00,2015-01-03,10,0.08,19.8,10.1,CALID-DE-AIRE-ANO-2015
2015-01-03:11:00,2015-01-03,11,0.09,4.0,4.2,CALID-DE-AIRE-ANO-2015
2015-01-03:12:00,2015-01-03,12,0.07,2.1,2.6,CALID-DE-AIRE-ANO-2015
2015-01-03:13:00,2015-01-03,13,0.06,0.3,0.4,CALID-DE-AIRE-ANO-2015
2015-01-03:14:00,2015-01-03,14,0.05,0.2,0.3,CALID-DE-AIRE-ANO-2015
2015-01-03:15:00,2015-01-03,15,0.04,1.0,1.0,CALID-DE-AIRE-ANO-2015
2015-01-03:16:00,2015-01-03,16,0.04,1.2,1.1,CALID-DE-AIRE-ANO-2015
2015-01-03:17:00,2015-01-03,17,0.04,0.3,0.3,CALID-DE-AIRE-ANO-2015
2015-01-03:18:00,2015-01-03,18,< LD,0.2,0.3,CALID-DE-AIRE-ANO-2015
2015-01-03:19:00,2015-01-03,19,< LD,0.2,0.3,CALID-DE-AIRE-ANO-2015
2015-01-03:20:00,2015-01-03,20,0.04,0.3,1.5,CALID-DE-AIRE-ANO-2015
2015-01-03:21:00,2015-01-03,21,0.05,2.3,4.7,CALID-DE-AIRE-ANO-2015
2015-01-03:22:00,2015-01-03,22,0.08,4.3,7.6,CALID-DE-AIRE-ANO-2015
2015-01-03:23:00,2015-01-03,23,0.13,2.2,6.8,CALID-DE-AIRE-ANO-2015
2015-01-04:00:00,2015-01-04,00,0.15,2.9,9.3,CALID-DE-AIRE-ANO-2015
2015-01-04:01:00,2015-01-04,01,0.15,2.3,7.8,CALID-DE-AIRE-ANO-2015
2015-01-04:02:00,2015-01-04,02,0.09,0.3,5.3,CALID-DE-AIRE-ANO-2015
2015-01-04:03:00,2015-01-04,03,0.08,0.9,5.6,CALID-DE-AIRE-ANO-2015
2015-01-04:04:00,2015-01-04,04,0.07,0.2,4.7,CALID-DE-AIRE-ANO-2015
2015-01-04:05:00,2015-01-04,05,0.09,2.4,7.6,CALID-DE-AIRE-ANO-2015
2015-01-04:06:00,2015-01-04,06,0.09,8.8,7.1,CALID-DE-AIRE-ANO-2015
2015-01-04:07:00,2015-01-04,07,0.06,1.7,2.4,CALID-DE-AIRE-ANO-2015
2015-01-04:08:00,2015-01-04,08,0.05,1.3,1.6,CALID-DE-AIRE-ANO-2015
2015-01-04:09:00,2015-01-04,09,0.05,1.0,1.3,CALID-DE-AIRE-ANO-2015
2015-01-04:10:00,2015-01-04,10,0.04,0.5,0.8,CALID-DE-AIRE-ANO-2015
2015-01-04:11:00,2015-01-04,11,0.04,0.4,0.9,CALID-DE-AIRE-ANO-2015
2015-01-04:12:00,2015-01-04,12,0.04,0.4,0.8,CALID-DE-AIRE-ANO-2015
2015-01-04:13:00,2015-01-04,13,----,----,----,CALID-DE-AIRE-ANO-2015
2015-01-04:14:00,2015-01-04,14,----,----,----,CALID-DE-AIRE-ANO-2015
2015-01-04:15:00,2015-01-04,15,----,----,----,CALID-DE-AIRE-ANO-2015
2015-01-04:16:00,2015-01-04,16,----,----,----,CALID-DE-AIRE-ANO-2015
2015-01-04:17:00,2015-01-04,17,0.14,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:18:00,2015-01-04,18,0.07,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:19:00,2015-01-04,19,0.07,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:20:00,2015-01-04,20,0.12,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:21:00,2015-01-04,21,0.15,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:22:00,2015-01-04,22,0.16,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-04:23:00,2015-01-04,23,0.16,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:00:00,2015-01-05,00,0.13,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:01:00,2015-01-05,01,0.17,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:02:00,2015-01-05,02,0.14,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:03:00,2015-01-05,03,0.16,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:04:00,2015-01-05,04,0.17,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:05:00,2015-01-05,05,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:06:00,2015-01-05,06,0.21,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:07:00,2015-01-05,07,0.23,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:08:00,2015-01-05,08,0.21,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:09:00,2015-01-05,09,0.21,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:10:00,2015-01-05,10,0.23,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:11:00,2015-01-05,11,0.22,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:12:00,2015-01-05,12,0.21,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:13:00,2015-01-05,13,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:14:00,2015-01-05,14,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:15:00,2015-01-05,15,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:16:00,2015-01-05,16,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:17:00,2015-01-05,17,0.21,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:18:00,2015-01-05,18,0.22,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:19:00,2015-01-05,19,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:20:00,2015-01-05,20,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:21:00,2015-01-05,21,0.17,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:22:00,2015-01-05,22,0.17,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-05:23:00,2015-01-05,23,0.17,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:00:00,2015-01-06,00,0.18,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:01:00,2015-01-06,01,0.19,0.3,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:02:00,2015-01-06,02,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:03:00,2015-01-06,03,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:04:00,2015-01-06,04,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:05:00,2015-01-06,05,0.19,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:06:00,2015-01-06,06,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:07:00,2015-01-06,07,0.18,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:08:00,2015-01-06,08,0.20,0.2,0.2,CALID-DE-AIRE-ANO-2015
2015-01-06:09:00,2015-01-06,09,0.18,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:10:00,2015-01-06,10,0.13,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:11:00,2015-01-06,11,0.12,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:12:00,2015-01-06,12,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:13:00,2015-01-06,13,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:14:00,2015-01-06,14,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:15:00,2015-01-06,15,0.13,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:16:00,2015-01-06,16,0.15,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:17:00,2015-01-06,17,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:18:00,2015-01-06,18,0.12,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:19:00,2015-01-06,19,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:20:00,2015-01-06,20,0.11,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:21:00,2015-01-06,21,0.15,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:22:00,2015-01-06,22,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-06:23:00,2015-01-06,23,0.21,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:00:00,2015-01-07,00,0.22,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:01:00,2015-01-07,01,0.21,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:02:00,2015-01-07,02,0.14,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:03:00,2015-01-07,03,0.12,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:04:00,2015-01-07,04,0.13,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:05:00,2015-01-07,05,0.14,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:06:00,2015-01-07,06,0.20,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:07:00,2015-01-07,07,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:08:00,2015-01-07,08,0.19,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:09:00,2015-01-07,09,----,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:10:00,2015-01-07,10,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:11:00,2015-01-07,11,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:12:00,2015-01-07,12,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:13:00,2015-01-07,13,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:14:00,2015-01-07,14,0.08,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:15:00,2015-01-07,15,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-07:16:00,2015-01-07,16,< LD,1.0,1.6,CALID-DE-AIRE-ANO-2015
2015-01-07:17:00,2015-01-07,17,< LD,0.3,1.2,CALID-DE-AIRE-ANO-2015
2015-01-07:18:00,2015-01-07,18,< LD,0.3,1.2,CALID-DE-AIRE-ANO-2015
2015-01-07:19:00,2015-01-07,19,< LD,0.4,1.4,CALID-DE-AIRE-ANO-2015
2015-01-07:20:00,2015-01-07,20,< LD,0.3,1.8,CALID-DE-AIRE-ANO-2015
2015-01-07:21:00,2015-01-07,21,< LD,1.1,2.6,CALID-DE-AIRE-ANO-2015
2015-01-07:22:00,2015-01-07,22,< LD,0.6,2.6,CALID-DE-AIRE-ANO-2015
2015-01-07:23:00,2015-01-07,23,< LD,0.4,1.9,CALID-DE-AIRE-ANO-2015
2015-01-08:00:00,2015-01-08,00,< LD,0.5,2.2,CALID-DE-AIRE-ANO-2015
2015-01-08:01:00,2015-01-08,01,< LD,0.4,2.1,CALID-DE-AIRE-ANO-2015
2015-01-08:02:00,2015-01-08,02,< LD,0.3,1.5,CALID-DE-AIRE-ANO-2015
2015-01-08:03:00,2015-01-08,03,< LD,0.4,1.9,CALID-DE-AIRE-ANO-2015
2015-01-08:04:00,2015-01-08,04,< LD,0.3,1.7,CALID-DE-AIRE-ANO-2015
2015-01-08:05:00,2015-01-08,05,< LD,0.8,2.1,CALID-DE-AIRE-ANO-2015
2015-01-08:06:00,2015-01-08,06,< LD,0.8,3.5,CALID-DE-AIRE-ANO-2015
2015-01-08:07:00,2015-01-08,07,0.04,14.0,12.6,CALID-DE-AIRE-ANO-2015
2015-01-08:08:00,2015-01-08,08,0.05,10.0,8.5,CALID-DE-AIRE-ANO-2015
2015-01-08:09:00,2015-01-08,09,0.04,7.1,6.7,CALID-DE-AIRE-ANO-2015
2015-01-08:10:00,2015-01-08,10,0.04,2.7,4.9,CALID-DE-AIRE-ANO-2015
2015-01-08:11:00,2015-01-08,11,0.04,1.0,3.1,CALID-DE-AIRE-ANO-2015
2015-01-08:12:00,2015-01-08,12,0.04,1.8,3.4,CALID-DE-AIRE-ANO-2015
2015-01-08:13:00,2015-01-08,13,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:14:00,2015-01-08,14,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:15:00,2015-01-08,15,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:16:00,2015-01-08,16,0.12,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:17:00,2015-01-08,17,0.20,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:18:00,2015-01-08,18,0.26,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:19:00,2015-01-08,19,0.42,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:20:00,2015-01-08,20,0.30,----,----,CALID-DE-AIRE-ANO-2015
