"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2013-01-01:00:00,2013-01-01,00,<LD,6.2,8.2,CALID-DE-AIRE-ANO-2013
2013-01-01:01:00,2013-01-01,01,<LD,0.3,2.8,CALID-DE-AIRE-ANO-2013
2013-01-01:02:00,2013-01-01,02,<LD,0.2,1.9,CALID-DE-AIRE-ANO-2013
2013-01-01:03:00,2013-01-01,03,<LD,0.2,1.8,CALID-DE-AIRE-ANO-2013
2013-01-01:04:00,2013-01-01,04,<LD,0.2,1.8,CALID-DE-AIRE-ANO-2013
2013-01-01:05:00,2013-01-01,05,<LD,0.3,1.8,CALID-DE-AIRE-ANO-2013
2013-01-01:06:00,2013-01-01,06,<LD,0.3,1.8,CALID-DE-AIRE-ANO-2013
2013-01-01:07:00,2013-01-01,07,<LD,6.5,5.7,CALID-DE-AIRE-ANO-2013
2013-01-01:08:00,2013-01-01,08,<LD,8.2,7.5,CALID-DE-AIRE-ANO-2013
2013-01-01:09:00,2013-01-01,09,<LD,10.4,7.9,CALID-DE-AIRE-ANO-2013
2013-01-01:10:00,2013-01-01,10,<LD,13.5,9.8,CALID-DE-AIRE-ANO-2013
2013-01-01:11:00,2013-01-01,11,<LD,7.8,6.5,CALID-DE-AIRE-ANO-2013
2013-01-01:12:00,2013-01-01,12,<LD,4.9,6.3,CALID-DE-AIRE-ANO-2013
2013-01-01:13:00,2013-01-01,13,<LD,2.3,4.4,CALID-DE-AIRE-ANO-2013
2013-01-01:14:00,2013-01-01,14,<LD,2.4,4.6,CALID-DE-AIRE-ANO-2013
2013-01-01:15:00,2013-01-01,15,<LD,1.0,3.1,CALID-DE-AIRE-ANO-2013
2013-01-01:16:00,2013-01-01,16,<LD,1.4,4.2,CALID-DE-AIRE-ANO-2013
2013-01-01:17:00,2013-01-01,17,<LD,0.5,3.0,CALID-DE-AIRE-ANO-2013
2013-01-01:18:00,2013-01-01,18,<LD,0.3,2.1,CALID-DE-AIRE-ANO-2013
2013-01-01:19:00,2013-01-01,19,<LD,0.2,2.0,CALID-DE-AIRE-ANO-2013
2013-01-01:20:00,2013-01-01,20,<LD,0.2,2.8,CALID-DE-AIRE-ANO-2013
2013-01-01:21:00,2013-01-01,21,<LD,0.2,5.1,CALID-DE-AIRE-ANO-2013
2013-01-01:22:00,2013-01-01,22,<LD,0.2,9.8,CALID-DE-AIRE-ANO-2013
2013-01-01:23:00,2013-01-01,23,<LD,0.3,9.1,CALID-DE-AIRE-ANO-2013
2013-01-02:00:00,2013-01-02,00,0.04,1.0,10.3,CALID-DE-AIRE-ANO-2013
2013-01-02:01:00,2013-01-02,01,<LD,0.5,7.9,CALID-DE-AIRE-ANO-2013
