"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2011-01-01:00:00,2011-01-01,00,<LD,0.2,2.1,CALID-DE-AIRE-ANO-2011
2011-01-01:01:00,2011-01-01,01,<LD,0.2,3.2,CALID-DE-AIRE-ANO-2011
2011-01-01:02:00,2011-01-01,02,0.04,0.2,6.1,CALID-DE-AIRE-ANO-2011
2011-01-01:03:00,2011-01-01,03,<LD,0.5,4.4,CALID-DE-AIRE-ANO-2011
2011-01-01:04:00,2011-01-01,04,<LD,0.6,1.4,CALID-DE-AIRE-ANO-2011
2011-01-01:05:00,2011-01-01,05,<LD,0.3,0.6,CALID-DE-AIRE-ANO-2011
2011-01-01:06:00,2011-01-01,06,<LD,0.3,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:07:00,2011-01-01,07,<LD,0.4,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:08:00,2011-01-01,08,<LD,0.6,1.3,CALID-DE-AIRE-ANO-2011
2011-01-01:09:00,2011-01-01,09,<LD,0.5,1.2,CALID-DE-AIRE-ANO-2011
2011-01-01:10:00,2011-01-01,10,<LD,0.2,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:11:00,2011-01-01,11,<LD,0.3,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:12:00,2011-01-01,12,<LD,0.4,1.2,CALID-DE-AIRE-ANO-2011
2011-01-01:13:00,2011-01-01,13,<LD,0.3,0.8,CALID-DE-AIRE-ANO-2011
2011-01-01:14:00,2011-01-01,14,<LD,0.3,0.3,CALID-DE-AIRE-ANO-2011
2011-01-01:15:00,2011-01-01,15,<LD,0.3,0.3,CALID-DE-AIRE-ANO-2011
2011-01-01:16:00,2011-01-01,16,<LD,0.3,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:17:00,2011-01-01,17,<LD,0.3,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:18:00,2011-01-01,18,<LD,0.2,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:19:00,2011-01-01,19,<LD,0.2,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:20:00,2011-01-01,20,<LD,0.2,0.2,CALID-DE-AIRE-ANO-2011
2011-01-01:21:00,2011-01-01,21,<LD,0.2,0.3,CALID-DE-AIRE-ANO-2011
2011-01-01:22:00,2011-01-01,22,<LD,0.5,0.7,CALID-DE-AIRE-ANO-2011
2011-01-01:23:00,2011-01-01,23,<LD,0.3,0.9,CALID-DE-AIRE-ANO-2011
2011-01-02:00:00,2011-01-02,00,<LD,0.2,1.1,CALID-DE-AIRE-ANO-2011
2011-01-02:01:00,2011-01-02,01,<LD,0.3,2.4,CALID-DE-AIRE-ANO-2011
2011-01-02:02:00,2011-01-02,02,<LD,0.2,3.6,CALID-DE-AIRE-ANO-2011
2011-01-02:03:00,2011-01-02,03,<LD,0.4,2.6,CALID-DE-AIRE-ANO-2011
2011-01-02:04:00,2011-01-02,04,<LD,0.4,1.9,CALID-DE-AIRE-ANO-2011
2011-01-02:05:00,2011-01-02,05,<LD,0.3,1.6,CALID-DE-AIRE-ANO-2011
2011-01-02:06:00,2011-01-02,06,<LD,0.3,1.8,CALID-DE-AIRE-ANO-2011
2011-01-02:07:00,2011-01-02,07,<LD,0.6,1.8,CALID-DE-AIRE-ANO-2011
2011-01-02:08:00,2011-01-02,08,<LD,0.6,1.1,CALID-DE-AIRE-ANO-2011
2011-01-02:09:00,2011-01-02,09,<LD,0.4,0.8,CALID-DE-AIRE-ANO-2011
2011-01-02:10:00,2011-01-02,10,<LD,0.5,1.6,CALID-DE-AIRE-ANO-2011
2011-01-02:11:00,2011-01-02,11,<LD,1.3,3.0,CALID-DE-AIRE-ANO-2011
2011-01-02:12:00,2011-01-02,12,<LD,0.4,1.6,CALID-DE-AIRE-ANO-2011
2011-01-02:13:00,2011-01-02,13,<LD,0.4,1.4,CALID-DE-AIRE-ANO-2011
2011-01-02:14:00,2011-01-02,14,<LD,0.2,0.8,CALID-DE-AIRE-ANO-2011
2011-01-02:15:00,2011-01-02,15,<LD,0.3,1.2,CALID-DE-AIRE-ANO-2011
2011-01-02:16:00,2011-01-02,16,<LD,0.3,0.8,CALID-DE-AIRE-ANO-2011
2011-01-02:17:00,2011-01-02,17,<LD,0.4,1.5,CALID-DE-AIRE-ANO-2011
2011-01-02:18:00,2011-01-02,18,<LD,0.3,1.2,CALID-DE-AIRE-ANO-2011
2011-01-02:19:00,2011-01-02,19,<LD,0.4,2.2,CALID-DE-AIRE-ANO-2011
2011-01-02:20:00,2011-01-02,20,<LD,0.4,4.5,CALID-DE-AIRE-ANO-2011
2011-01-02:21:00,2011-01-02,21,<LD,0.4,7.1,CALID-DE-AIRE-ANO-2011
2011-01-02:22:00,2011-01-02,22,<LD,0.3,5.1,CALID-DE-AIRE-ANO-2011
2011-01-02:23:00,2011-01-02,23,<LD,0.5,4.9,CALID-DE-AIRE-ANO-2011
2011-01-03:00:00,2011-01-03,00,<LD,0.6,3.4,CALID-DE-AIRE-ANO-2011
2011-01-03:01:00,2011-01-03,01,<LD,0.3,0.9,CALID-DE-AIRE-ANO-2011
2011-01-03:02:00,2011-01-03,02,<LD,0.3,0.7,CALID-DE-AIRE-ANO-2011
2011-01-03:03:00,2011-01-03,03,<LD,0.4,1.0,CALID-DE-AIRE-ANO-2011
2011-01-03:04:00,2011-01-03,04,<LD,0.7,1.0,CALID-DE-AIRE-ANO-2011
2011-01-03:05:00,2011-01-03,05,<LD,1.0,1.0,CALID-DE-AIRE-ANO-2011
2011-01-03:06:00,2011-01-03,06,<LD,2.7,2.3,CALID-DE-AIRE-ANO-2011
2011-01-03:07:00,2011-01-03,07,<LD,5.3,2.8,CALID-DE-AIRE-ANO-2011
2011-01-03:08:00,2011-01-03,08,<LD,4.0,2.4,CALID-DE-AIRE-ANO-2011
2011-01-03:09:00,2011-01-03,09,<LD,5.0,3.3,CALID-DE-AIRE-ANO-2011
2011-01-03:10:00,2011-01-03,10,<LD,2.2,2.8,CALID-DE-AIRE-ANO-2011
2011-01-03:11:00,2011-01-03,11,<LD,1.7,2.4,CALID-DE-AIRE-ANO-2011
2011-01-03:12:00,2011-01-03,12,<LD,2.6,4.1,CALID-DE-AIRE-ANO-2011
2011-01-03:13:00,2011-01-03,13,<LD,0.7,1.4,CALID-DE-AIRE-ANO-2011
2011-01-03:14:00,2011-01-03,14,<LD,0.9,1.6,CALID-DE-AIRE-ANO-2011
2011-01-03:15:00,2011-01-03,15,<LD,0.7,3.0,CALID-DE-AIRE-ANO-2011
2011-01-03:16:00,2011-01-03,16,<LD,0.3,1.9,CALID-DE-AIRE-ANO-2011
2011-01-03:17:00,2011-01-03,17,---,---,---,CALID-DE-AIRE-ANO-2011
2011-01-03:18:00,2011-01-03,18,---,---,---,CALID-DE-AIRE-ANO-2011
2011-01-03:19:00,2011-01-03,19,---,---,---,CALID-DE-AIRE-ANO-2011
2011-01-03:20:00,2011-01-03,20,---,---,---,CALID-DE-AIRE-ANO-2011
