"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2012-01-01:00:00,2012-01-01,00,<LD,0.7,2.1,CALID-DE-AIRE-ANO-2012
2012-01-01:01:00,2012-01-01,01,<LD,0.4,2.1,CALID-DE-AIRE-ANO-2012
2012-01-01:02:00,2012-01-01,02,<LD,0.4,2.9,CALID-DE-AIRE-ANO-2012
2012-01-01:03:00,2012-01-01,03,<LD,0.4,3.0,CALID-DE-AIRE-ANO-2012
2012-01-01:04:00,2012-01-01,04,<LD,0.4,0.9,CALID-DE-AIRE-ANO-2012
2012-01-01:05:00,2012-01-01,05,<LD,0.5,0.8,CALID-DE-AIRE-ANO-2012
2012-01-01:06:00,2012-01-01,06,<LD,0.4,1.2,CALID-DE-AIRE-ANO-2012
2012-01-01:07:00,2012-01-01,07,<LD,0.4,1.9,CALID-DE-AIRE-ANO-2012
2012-01-01:08:00,2012-01-01,08,<LD,0.8,1.6,CALID-DE-AIRE-ANO-2012
2012-01-01:09:00,2012-01-01,09,<LD,0.4,0.8,CALID-DE-AIRE-ANO-2012
2012-01-01:10:00,2012-01-01,10,<LD,1.4,4.9,CALID-DE-AIRE-ANO-2012
2012-01-01:11:00,2012-01-01,11,<LD,1.0,5.0,CALID-DE-AIRE-ANO-2012
2012-01-01:12:00,2012-01-01,12,<LD,1.0,4.9,CALID-DE-AIRE-ANO-2012
2012-01-01:13:00,2012-01-01,13,<LD,0.5,3.9,CALID-DE-AIRE-ANO-2012
2012-01-01:14:00,2012-01-01,14,<LD,0.5,2.7,CALID-DE-AIRE-ANO-2012
2012-01-01:15:00,2012-01-01,15,<LD,0.5,2.1,CALID-DE-AIRE-ANO-2012
2012-01-01:16:00,2012-01-01,16,<LD,0.5,1.6,CALID-DE-AIRE-ANO-2012
2012-01-01:17:00,2012-01-01,17,<LD,1.1,3.2,CALID-DE-AIRE-ANO-2012
2012-01-01:18:00,2012-01-01,18,<LD,0.4,0.8,CALID-DE-AIRE-ANO-2012
2012-01-01:19:00,2012-01-01,19,<LD,0.4,0.9,CALID-DE-AIRE-ANO-2012
2012-01-01:20:00,2012-01-01,20,<LD,0.5,0.5,CALID-DE-AIRE-ANO-2012
2012-01-01:21:00,2012-01-01,21,<LD,0.4,0.8,CALID-DE-AIRE-ANO-2012
2012-01-01:22:00,2012-01-01,22,<LD,0.6,0.8,CALID-DE-AIRE-ANO-2012
2012-01-01:23:00,2012-01-01,23,<LD,0.4,0.5,CALID-DE-AIRE-ANO-2012
2012-01-02:00:00,2012-01-02,00,<LD,1.2,3.9,CALID-DE-AIRE-ANO-2012
2012-01-02:01:00,2012-01-02,01,<LD,0.7,3.8,CALID-DE-AIRE-ANO-2012
2012-01-02:02:00,2012-01-02,02,<LD,0.8,5.3,CALID-DE-AIRE-ANO-2012
2012-01-02:03:00,2012-01-02,03,<LD,0.4,4.2,CALID-DE-AIRE-ANO-2012
