2018-05-12:04:30,05/12/2018,04:30:00,19.08,7.18,7.52,81.34,crbuoy
2018-05-12:04:45,05/12/2018,04:45:00,19.06,7.18,7.49,81.04,crbuoy
2018-05-12:05:00,05/12/2018,05:00:00,19.07,7.17,7.45,80.63,crbuoy
2018-05-12:05:15,05/12/2018,05:15:00,19.06,7.17,7.43,80.31,crbuoy
2018-05-12:05:30,05/12/2018,05:30:00,19.06,7.17,7.39,79.94,crbuoy
2018-05-12:05:45,05/12/2018,05:45:00,19.03,7.16,7.35,79.47,crbuoy
2018-05-12:06:00,05/12/2018,06:00:00,18.99,7.16,7.29,78.8,crbuoy
2018-05-12:06:15,05/12/2018,06:15:00,19,7.16,7.32,79.06,crbuoy
2018-05-12:06:30,05/12/2018,06:30:00,18.93,7.16,7.32,78.92,crbuoy
2018-05-12:06:45,05/12/2018,06:45:00,19,7.15,7.23,78.13,crbuoy
2018-05-12:07:00,05/12/2018,07:00:00,18.97,7.15,7.26,78.39,crbuoy
2018-05-12:07:15,05/12/2018,07:15:00,18.94,7.15,7.22,77.88,crbuoy
2018-05-12:07:30,05/12/2018,07:30:00,18.93,7.15,7.18,77.41,crbuoy
2018-05-12:07:45,05/12/2018,07:45:00,18.92,7.15,7.17,77.32,crbuoy
2018-05-12:08:00,05/12/2018,08:00:00,18.87,7.14,7.19,77.43,crbuoy
2018-05-12:08:15,05/12/2018,08:15:00,18.88,7.14,7.15,77.1,crbuoy
2018-05-12:08:30,05/12/2018,08:30:00,18.87,7.14,7.12,76.67,crbuoy
2018-05-12:08:45,05/12/2018,08:45:00,18.86,7.14,7.09,76.34,crbuoy
2018-05-12:09:00,05/12/2018,09:00:00,18.83,7.15,7.2,77.45,crbuoy
2018-05-12:09:15,05/12/2018,09:15:00,18.83,7.15,7.14,76.89,crbuoy
2018-05-12:09:30,05/12/2018,09:30:00,18.74,7.15,7.18,77.15,crbuoy
2018-05-12:09:45,05/12/2018,09:45:00,18.78,7.15,7.17,77.07,crbuoy
2018-05-12:10:00,05/12/2018,10:00:00,18.78,7.15,7.14,76.81,crbuoy
2018-05-12:10:15,05/12/2018,10:15:00,18.77,7.15,7.1,76.34,crbuoy
2018-05-12:10:30,05/12/2018,10:30:00,18.75,7.14,7.07,76.01,crbuoy
2018-05-12:10:45,05/12/2018,10:45:00,18.76,7.13,7.02,75.43,crbuoy
2018-05-12:11:00,05/12/2018,11:00:00,18.74,7.14,6.99,75.15,crbuoy
2018-05-12:11:15,05/12/2018,11:15:00,18.75,7.13,6.92,74.39,crbuoy
2018-05-12:11:30,05/12/2018,11:30:00,18.75,7.13,6.89,74.03,crbuoy
2018-05-12:11:45,05/12/2018,11:45:00,18.74,7.12,6.9,74.19,crbuoy
2018-05-12:12:00,05/12/2018,12:00:00,18.73,7.13,6.89,74.03,crbuoy
2018-05-12:12:15,05/12/2018,12:15:00,18.72,7.12,6.9,74.09,crbuoy
2018-05-12:12:30,05/12/2018,12:30:00,18.71,7.14,6.96,74.78,crbuoy
2018-05-12:12:45,05/12/2018,12:45:00,18.71,7.14,6.95,74.61,crbuoy
