FECHA,HORA,AMPM,WATERQ_pH
03/03/2017,09:41:00,a.m.,7.1,
05/07/2012,02:12:00,p.m.,7.7,
08/03/2012,01:34:00,p.m.,7.8,
08/11/2011,11:41:00,a.m.,8.4,
10/11/2016,08:15:00,a.m.,7.3,
12/01/2017,09:48:00,a.m.,6.5,
12/07/2011,04:30:00,p.m.,7.6,
13/07/2016,11:15:00,a.m.,7.2,
22/05/2012,02:00:00,p.m.,7.6,
