FECHA,HORA,AMPM,WATERQ_Cond
05/07/2012,02:12:00,p.m.,504,
08/03/2012,01:34:00,p.m.,85.9,
08/11/2011,11:41:00,a.m.,95.8,
08/11/2012,05:41:00,p.m.,88.17,
11/07/2013,02:00:00,p.m.,388.08,
12/07/2011,04:30:00,p.m.,105.3,
12/11/2013,04:48:00,p.m.,103.24,
22/05/2012,02:00:00,p.m.,105.3,
