"FECHA_HORA",FECHA,AIRQ_CO2,DATASET
1953,1953,623.5615,WRI_CAIT_ETOT_CO2_Germany
1954,1954,659.8095,WRI_CAIT_ETOT_CO2_Germany
1955,1955,723.5814,WRI_CAIT_ETOT_CO2_Germany
1956,1956,766.278,WRI_CAIT_ETOT_CO2_Germany
1957,1957,778.0028,WRI_CAIT_ETOT_CO2_Germany
1958,1958,756.4694,WRI_CAIT_ETOT_CO2_Germany
1959,1959,755.9015,WRI_CAIT_ETOT_CO2_Germany
1960,1960,814.0675,WRI_CAIT_ETOT_CO2_Germany
1961,1961,834.9743,WRI_CAIT_ETOT_CO2_Germany
1962,1962,883.3098,WRI_CAIT_ETOT_CO2_Germany
1963,1963,945.6381,WRI_CAIT_ETOT_CO2_Germany
1964,1964,969.073,WRI_CAIT_ETOT_CO2_Germany
1965,1965,960.2648,WRI_CAIT_ETOT_CO2_Germany
1966,1966,951.5848,WRI_CAIT_ETOT_CO2_Germany
1967,1967,936.3865,WRI_CAIT_ETOT_CO2_Germany
1968,1968,984.9528,WRI_CAIT_ETOT_CO2_Germany
1969,1969,1052.1726,WRI_CAIT_ETOT_CO2_Germany
1970,1970,1026.2095,WRI_CAIT_ETOT_CO2_Germany
1971,1971,1003.2987,WRI_CAIT_ETOT_CO2_Germany
1972,1972,1029.1555,WRI_CAIT_ETOT_CO2_Germany
1973,1973,1078.3173,WRI_CAIT_ETOT_CO2_Germany
1974,1974,1051.4986,WRI_CAIT_ETOT_CO2_Germany
1975,1975,997.5123,WRI_CAIT_ETOT_CO2_Germany
1976,1976,1055.543,WRI_CAIT_ETOT_CO2_Germany
1977,1977,1039.8465,WRI_CAIT_ETOT_CO2_Germany
1978,1978,1079.6807,WRI_CAIT_ETOT_CO2_Germany
1979,1979,1128.2208,WRI_CAIT_ETOT_CO2_Germany
1980,1980,1078.8534,WRI_CAIT_ETOT_CO2_Germany
1981,1981,1044.0388,WRI_CAIT_ETOT_CO2_Germany
1982,1982,1003.1698,WRI_CAIT_ETOT_CO2_Germany
1983,1983,1004.9797,WRI_CAIT_ETOT_CO2_Germany
1984,1984,1026.303,WRI_CAIT_ETOT_CO2_Germany
1985,1985,1033.2304,WRI_CAIT_ETOT_CO2_Germany
1986,1986,1035.5477,WRI_CAIT_ETOT_CO2_Germany
1987,1987,1025.9853,WRI_CAIT_ETOT_CO2_Germany
1988,1988,1020.5183,WRI_CAIT_ETOT_CO2_Germany
1989,1989,997.1332,WRI_CAIT_ETOT_CO2_Germany
1990,1990,968.46,WRI_CAIT_ETOT_CO2_Germany
1991,1991,942.9715,WRI_CAIT_ETOT_CO2_Germany
1992,1992,905.9345,WRI_CAIT_ETOT_CO2_Germany
1993,1993,898.7834,WRI_CAIT_ETOT_CO2_Germany
1994,1994,887.8463,WRI_CAIT_ETOT_CO2_Germany
1995,1995,885.3614,WRI_CAIT_ETOT_CO2_Germany
1996,1996,913.1011,WRI_CAIT_ETOT_CO2_Germany
1997,1997,884.402,WRI_CAIT_ETOT_CO2_Germany
1998,1998,877.808,WRI_CAIT_ETOT_CO2_Germany
1999,1999,847.3952,WRI_CAIT_ETOT_CO2_Germany
2000,2000,845.2038,WRI_CAIT_ETOT_CO2_Germany
2001,2001,861.7905,WRI_CAIT_ETOT_CO2_Germany
2002,2002,848.6514,WRI_CAIT_ETOT_CO2_Germany
2003,2003,850.0269,WRI_CAIT_ETOT_CO2_Germany
2004,2004,833.5953,WRI_CAIT_ETOT_CO2_Germany
2005,2005,817.2373,WRI_CAIT_ETOT_CO2_Germany
2006,2006,830.6691,WRI_CAIT_ETOT_CO2_Germany
2007,2007,798.0301,WRI_CAIT_ETOT_CO2_Germany
2008,2008,804.9135,WRI_CAIT_ETOT_CO2_Germany
2009,2009,747.5107,WRI_CAIT_ETOT_CO2_Germany
2010,2010,786.4636,WRI_CAIT_ETOT_CO2_Germany
2011,2011,760.6978,WRI_CAIT_ETOT_CO2_Germany
2012,2012,773.9585,WRI_CAIT_ETOT_CO2_Germany
