"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2015-05-13:12:00,05/13/2015,12:00:00,22.74,7.4,8.72,101.39,crbuoy2015
2015-05-13:12:15,05/13/2015,12:15:00,22.84,7.44,8.83,102.89,crbuoy2015
2015-05-13:12:30,05/13/2015,12:30:00,22.88,7.45,8.85,103.15,crbuoy2015
2015-05-13:12:45,05/13/2015,12:45:00,22.93,7.46,8.9,103.84,crbuoy2015
2015-05-13:13:00,05/13/2015,13:00:00,22.95,7.46,8.92,104.15,crbuoy2015
2015-05-13:13:15,05/13/2015,13:15:00,22.95,7.47,8.95,104.48,crbuoy2015
2015-05-13:13:30,05/13/2015,13:30:00,22.9,7.46,8.9,103.86,crbuoy2015
2015-05-13:13:45,05/13/2015,13:45:00,22.91,7.47,8.91,103.96,crbuoy2015
2015-05-13:14:00,05/13/2015,14:00:00,22.89,7.45,8.87,103.44,crbuoy2015
2015-05-13:14:15,05/13/2015,14:15:00,22.83,7.44,8.84,102.99,crbuoy2015
2015-05-13:14:30,05/13/2015,14:30:00,22.86,7.46,8.9,103.69,crbuoy2015
2015-05-13:14:45,05/13/2015,14:45:00,22.82,7.43,8.79,102.36,crbuoy2015
2015-05-13:15:00,05/13/2015,15:00:00,22.83,7.41,8.71,101.45,crbuoy2015
2015-05-13:15:15,05/13/2015,15:15:00,22.88,7.44,8.82,102.87,crbuoy2015
2015-05-13:15:30,05/13/2015,15:30:00,23.02,7.52,9.04,105.69,crbuoy2015
2015-05-13:15:45,05/13/2015,15:45:00,22.95,7.51,9.03,105.47,crbuoy2015
2015-05-13:16:00,05/13/2015,16:00:00,22.88,7.49,8.98,104.71,crbuoy2015
2015-05-13:16:15,05/13/2015,16:15:00,22.87,7.51,9.04,105.41,crbuoy2015
2015-05-13:16:30,05/13/2015,16:30:00,22.82,7.52,9.08,105.77,crbuoy2015
2015-05-13:16:45,05/13/2015,16:45:00,22.67,7.47,8.93,103.72,crbuoy2015
2015-05-13:17:00,05/13/2015,17:00:00,22.79,7.52,9.04,105.26,crbuoy2015
2015-05-13:17:15,05/13/2015,17:15:00,22.71,7.51,9.04,105.05,crbuoy2015
2015-05-13:17:30,05/13/2015,17:30:00,22.69,7.53,9.09,105.65,crbuoy2015
2015-05-13:17:45,05/13/2015,17:45:00,22.59,7.48,8.97,104.06,crbuoy2015
2015-05-13:18:00,05/13/2015,18:00:00,22.54,7.51,9.03,104.54,crbuoy2015
2015-05-13:18:15,05/13/2015,18:15:00,22.48,7.52,9.04,104.56,crbuoy2015
2015-05-13:18:30,05/13/2015,18:30:00,22.45,7.5,8.98,103.87,crbuoy2015
2015-05-13:18:45,05/13/2015,18:45:00,22.41,7.5,8.96,103.56,crbuoy2015
2015-05-13:19:00,05/13/2015,19:00:00,22.35,7.5,8.98,103.66,crbuoy2015
2015-05-13:19:15,05/13/2015,19:15:00,22.31,7.49,8.95,103.22,crbuoy2015
2015-05-13:19:30,05/13/2015,19:30:00,22.23,7.47,8.89,102.42,crbuoy2015
2015-05-13:19:45,05/13/2015,19:45:00,22.25,7.44,8.8,101.37,crbuoy2015
2015-05-13:20:00,05/13/2015,20:00:00,22.2,7.43,8.77,100.94,crbuoy2015
2015-05-13:20:15,05/13/2015,20:15:00,22.16,7.43,8.76,100.74,crbuoy2015
2015-05-13:20:30,05/13/2015,20:30:00,22.11,7.43,8.74,100.45,crbuoy2015
2015-05-13:20:45,05/13/2015,20:45:00,22.07,7.42,8.74,100.35,crbuoy2015
2015-05-13:21:00,05/13/2015,21:00:00,22.04,7.38,8.6,98.69,crbuoy2015
2015-05-13:21:15,05/13/2015,21:15:00,22.01,7.4,8.66,99.25,crbuoy2015
2015-05-13:21:30,05/13/2015,21:30:00,21.98,7.39,8.59,98.39,crbuoy2015
2015-05-13:21:45,05/13/2015,21:45:00,21.94,7.38,8.55,97.96,crbuoy2015
2015-05-13:22:00,05/13/2015,22:00:00,21.91,7.38,8.56,97.96,crbuoy2015
2015-05-13:22:15,05/13/2015,22:15:00,21.87,7.35,8.45,96.64,crbuoy2015
2015-05-13:22:30,05/13/2015,22:30:00,21.85,7.35,8.43,96.41,crbuoy2015
2015-05-13:22:45,05/13/2015,22:45:00,21.82,7.35,8.38,95.77,crbuoy2015
