1850,1850,WRI_CAIT_ETOT_CO2_Chile
1946,1946,7.4672,WRI_CAIT_ETOT_CO2_Brazil
1947,1947,8.9512,WRI_CAIT_ETOT_CO2_Brazil
1948,1948,7.852,WRI_CAIT_ETOT_CO2_Brazil
1949,1949,7.3756,WRI_CAIT_ETOT_CO2_Brazil
1950,1950,19.6574,WRI_CAIT_ETOT_CO2_Brazil
1951,1951,21.6506,WRI_CAIT_ETOT_CO2_Brazil
1952,1952,24.9299,WRI_CAIT_ETOT_CO2_Brazil
1953,1953,25.179,WRI_CAIT_ETOT_CO2_Brazil
1954,1954,29.5648,WRI_CAIT_ETOT_CO2_Brazil
1955,1955,33.9176,WRI_CAIT_ETOT_CO2_Brazil
1956,1956,36.4568,WRI_CAIT_ETOT_CO2_Brazil
