"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO2,DATASET
2011-12-23:17:00,23/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-23:18:00,23/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-23:19:00,23/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-23:20:00,23/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-23:21:00,23/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-23:22:00,23/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-23:23:00,23/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-24:0:00,24/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-24:1:00,24/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-24:2:00,24/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-24:3:00,24/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-24:4:00,24/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-24:5:00,24/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-24:6:00,24/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-24:7:00,24/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-24:8:00,24/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-24:9:00,24/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-24:10:00,24/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-24:11:00,24/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-24:12:00,24/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-24:13:00,24/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-24:14:00,24/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-24:15:00,24/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-24:16:00,24/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-24:17:00,24/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-24:18:00,24/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-24:19:00,24/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-24:20:00,24/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-24:21:00,24/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-24:22:00,24/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-24:23:00,24/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-25:0:00,25/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-25:1:00,25/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-25:2:00,25/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-25:3:00,25/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-25:4:00,25/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-25:5:00,25/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-25:6:00,25/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-25:7:00,25/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-25:8:00,25/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-25:9:00,25/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-25:10:00,25/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-25:11:00,25/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-25:12:00,25/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-25:13:00,25/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-25:14:00,25/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-25:15:00,25/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-25:16:00,25/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-25:17:00,25/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-25:18:00,25/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-25:19:00,25/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-25:20:00,25/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-25:21:00,25/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-25:22:00,25/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-25:23:00,25/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-26:0:00,26/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-26:1:00,26/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-26:2:00,26/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-26:3:00,26/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-26:4:00,26/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-26:5:00,26/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-26:6:00,26/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-26:7:00,26/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-26:8:00,26/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-26:9:00,26/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-26:10:00,26/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-26:11:00,26/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-26:12:00,26/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-26:13:00,26/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-26:14:00,26/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-26:15:00,26/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-26:16:00,26/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-26:17:00,26/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-26:18:00,26/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-26:19:00,26/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-26:20:00,26/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-26:21:00,26/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-26:22:00,26/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-26:23:00,26/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-27:0:00,27/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-27:1:00,27/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-27:2:00,27/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-27:3:00,27/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-27:4:00,27/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-27:5:00,27/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-27:6:00,27/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-27:7:00,27/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-27:8:00,27/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-27:9:00,27/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-27:10:00,27/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-27:11:00,27/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-27:12:00,27/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-27:13:00,27/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-27:14:00,27/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-27:15:00,27/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-27:16:00,27/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-27:17:00,27/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-27:18:00,27/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-27:19:00,27/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-27:20:00,27/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-27:21:00,27/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-27:22:00,27/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-27:23:00,27/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-28:0:00,28/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-28:1:00,28/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-28:2:00,28/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-28:3:00,28/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-28:4:00,28/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-28:5:00,28/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-28:6:00,28/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-28:7:00,28/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-28:8:00,28/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-28:9:00,28/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-28:10:00,28/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-28:11:00,28/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-28:12:00,28/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-28:13:00,28/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-28:14:00,28/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-28:15:00,28/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-28:16:00,28/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-28:17:00,28/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-28:18:00,28/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-28:19:00,28/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-28:20:00,28/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-28:21:00,28/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-28:22:00,28/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-28:23:00,28/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-29:0:00,29/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-29:1:00,29/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-29:2:00,29/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-29:3:00,29/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-29:4:00,29/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-29:5:00,29/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-29:6:00,29/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-29:7:00,29/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-29:8:00,29/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-29:9:00,29/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-29:10:00,29/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-29:11:00,29/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-29:12:00,29/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-29:13:00,29/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-29:14:00,29/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-29:15:00,29/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-29:16:00,29/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-29:17:00,29/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-29:18:00,29/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-29:19:00,29/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-29:20:00,29/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-29:21:00,29/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-29:22:00,29/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-29:23:00,29/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-30:0:00,30/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-30:1:00,30/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-30:2:00,30/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-30:3:00,30/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-30:4:00,30/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-30:5:00,30/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-30:6:00,30/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-30:7:00,30/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-30:8:00,30/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-30:9:00,30/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-30:10:00,30/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-30:11:00,30/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-30:12:00,30/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-30:13:00,30/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-30:14:00,30/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-30:15:00,30/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-30:16:00,30/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-30:17:00,30/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-30:18:00,30/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-30:19:00,30/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-30:20:00,30/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-30:21:00,30/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-30:22:00,30/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-30:23:00,30/12/2011,24, , ,MGSET_01_2009_2018_PA
2011-12-31:0:00,31/12/2011,1, , ,MGSET_01_2009_2018_PA
2011-12-31:1:00,31/12/2011,2, , ,MGSET_01_2009_2018_PA
2011-12-31:2:00,31/12/2011,3, , ,MGSET_01_2009_2018_PA
2011-12-31:3:00,31/12/2011,4, , ,MGSET_01_2009_2018_PA
2011-12-31:4:00,31/12/2011,5, , ,MGSET_01_2009_2018_PA
2011-12-31:5:00,31/12/2011,6, , ,MGSET_01_2009_2018_PA
2011-12-31:6:00,31/12/2011,7, , ,MGSET_01_2009_2018_PA
2011-12-31:7:00,31/12/2011,8, , ,MGSET_01_2009_2018_PA
2011-12-31:8:00,31/12/2011,9, , ,MGSET_01_2009_2018_PA
2011-12-31:9:00,31/12/2011,10, , ,MGSET_01_2009_2018_PA
2011-12-31:10:00,31/12/2011,11, , ,MGSET_01_2009_2018_PA
2011-12-31:11:00,31/12/2011,12, , ,MGSET_01_2009_2018_PA
2011-12-31:12:00,31/12/2011,13, , ,MGSET_01_2009_2018_PA
2011-12-31:13:00,31/12/2011,14, , ,MGSET_01_2009_2018_PA
2011-12-31:14:00,31/12/2011,15, , ,MGSET_01_2009_2018_PA
2011-12-31:15:00,31/12/2011,16, , ,MGSET_01_2009_2018_PA
2011-12-31:16:00,31/12/2011,17, , ,MGSET_01_2009_2018_PA
2011-12-31:17:00,31/12/2011,18, , ,MGSET_01_2009_2018_PA
2011-12-31:18:00,31/12/2011,19, , ,MGSET_01_2009_2018_PA
2011-12-31:19:00,31/12/2011,20, , ,MGSET_01_2009_2018_PA
2011-12-31:20:00,31/12/2011,21, , ,MGSET_01_2009_2018_PA
2011-12-31:21:00,31/12/2011,22, , ,MGSET_01_2009_2018_PA
2011-12-31:22:00,31/12/2011,23, , ,MGSET_01_2009_2018_PA
2011-12-31:23:00,31/12/2011,24, , ,MGSET_01_2009_2018_PA
2012-01-01:0:00,01/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-01:1:00,01/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-01:2:00,01/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-01:3:00,01/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-01:4:00,01/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-01:5:00,01/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-01:6:00,01/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-01:7:00,01/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-01:8:00,01/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-01:9:00,01/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-01:10:00,01/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-01:11:00,01/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-01:12:00,01/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-01:13:00,01/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-01:14:00,01/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-01:15:00,01/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-01:16:00,01/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-01:17:00,01/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-01:18:00,01/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-01:19:00,01/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-01:20:00,01/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-01:21:00,01/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-01:22:00,01/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-01:23:00,01/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-02:0:00,02/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-02:1:00,02/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-02:2:00,02/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-02:3:00,02/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-02:4:00,02/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-02:5:00,02/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-02:6:00,02/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-02:7:00,02/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-02:8:00,02/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-02:9:00,02/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-02:10:00,02/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-02:11:00,02/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-02:12:00,02/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-02:13:00,02/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-02:14:00,02/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-02:15:00,02/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-02:16:00,02/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-02:17:00,02/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-02:18:00,02/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-02:19:00,02/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-02:20:00,02/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-02:21:00,02/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-02:22:00,02/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-02:23:00,02/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-03:0:00,03/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-03:1:00,03/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-03:2:00,03/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-03:3:00,03/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-03:4:00,03/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-03:5:00,03/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-03:6:00,03/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-03:7:00,03/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-03:8:00,03/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-03:9:00,03/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-03:10:00,03/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-03:11:00,03/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-03:12:00,03/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-03:13:00,03/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-03:14:00,03/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-03:15:00,03/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-03:16:00,03/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-03:17:00,03/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-03:18:00,03/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-03:19:00,03/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-03:20:00,03/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-03:21:00,03/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-03:22:00,03/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-03:23:00,03/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-04:0:00,04/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-04:1:00,04/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-04:2:00,04/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-04:3:00,04/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-04:4:00,04/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-04:5:00,04/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-04:6:00,04/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-04:7:00,04/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-04:8:00,04/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-04:9:00,04/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-04:10:00,04/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-04:11:00,04/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-04:12:00,04/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-04:13:00,04/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-04:14:00,04/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-04:15:00,04/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-04:16:00,04/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-04:17:00,04/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-04:18:00,04/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-04:19:00,04/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-04:20:00,04/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-04:21:00,04/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-04:22:00,04/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-04:23:00,04/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-05:0:00,05/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-05:1:00,05/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-05:2:00,05/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-05:3:00,05/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-05:4:00,05/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-05:5:00,05/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-05:6:00,05/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-05:7:00,05/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-05:8:00,05/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-05:9:00,05/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-05:10:00,05/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-05:11:00,05/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-06:12:00,06/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-06:13:00,06/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-06:14:00,06/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-06:15:00,06/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-06:16:00,06/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-06:17:00,06/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-06:18:00,06/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-06:19:00,06/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-06:20:00,06/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-06:21:00,06/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-06:22:00,06/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-06:23:00,06/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-07:0:00,07/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-07:1:00,07/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-07:2:00,07/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-07:3:00,07/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-07:4:00,07/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-07:5:00,07/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-07:6:00,07/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-07:7:00,07/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-07:8:00,07/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-07:9:00,07/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-07:10:00,07/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-07:11:00,07/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-07:12:00,07/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-07:13:00,07/01/2012,14, , ,MGSET_01_2009_2018_PA
2012-01-07:14:00,07/01/2012,15, , ,MGSET_01_2009_2018_PA
2012-01-07:15:00,07/01/2012,16, , ,MGSET_01_2009_2018_PA
2012-01-07:16:00,07/01/2012,17, , ,MGSET_01_2009_2018_PA
2012-01-07:17:00,07/01/2012,18, , ,MGSET_01_2009_2018_PA
2012-01-07:18:00,07/01/2012,19, , ,MGSET_01_2009_2018_PA
2012-01-07:19:00,07/01/2012,20, , ,MGSET_01_2009_2018_PA
2012-01-07:20:00,07/01/2012,21, , ,MGSET_01_2009_2018_PA
2012-01-07:21:00,07/01/2012,22, , ,MGSET_01_2009_2018_PA
2012-01-07:22:00,07/01/2012,23, , ,MGSET_01_2009_2018_PA
2012-01-07:23:00,07/01/2012,24, , ,MGSET_01_2009_2018_PA
2012-01-08:0:00,08/01/2012,1, , ,MGSET_01_2009_2018_PA
2012-01-08:1:00,08/01/2012,2, , ,MGSET_01_2009_2018_PA
2012-01-08:2:00,08/01/2012,3, , ,MGSET_01_2009_2018_PA
2012-01-08:3:00,08/01/2012,4, , ,MGSET_01_2009_2018_PA
2012-01-08:4:00,08/01/2012,5, , ,MGSET_01_2009_2018_PA
2012-01-08:5:00,08/01/2012,6, , ,MGSET_01_2009_2018_PA
2012-01-08:6:00,08/01/2012,7, , ,MGSET_01_2009_2018_PA
2012-01-08:7:00,08/01/2012,8, , ,MGSET_01_2009_2018_PA
2012-01-08:8:00,08/01/2012,9, , ,MGSET_01_2009_2018_PA
2012-01-08:9:00,08/01/2012,10, , ,MGSET_01_2009_2018_PA
2012-01-08:10:00,08/01/2012,11, , ,MGSET_01_2009_2018_PA
2012-01-08:11:00,08/01/2012,12, , ,MGSET_01_2009_2018_PA
2012-01-08:12:00,08/01/2012,13, , ,MGSET_01_2009_2018_PA
2012-01-08:13:00,08/01/2012,14, , ,MGSET_01_2009_2018_PA
