"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO2,DATASET
2009-10-06:6:00,06/10/2009,7,0.6, ,MGSET_01_2009_2018_PA
2009-10-06:7:00,06/10/2009,8,0.53, ,MGSET_01_2009_2018_PA
2009-10-06:8:00,06/10/2009,9,0.49, ,MGSET_01_2009_2018_PA
2009-10-06:9:00,06/10/2009,10,0.49, ,MGSET_01_2009_2018_PA
2009-10-06:10:00,06/10/2009,11,0.49, ,MGSET_01_2009_2018_PA
2009-10-06:11:00,06/10/2009,12,0.51, ,MGSET_01_2009_2018_PA
2009-10-06:12:00,06/10/2009,13,0.53, ,MGSET_01_2009_2018_PA
2009-10-06:13:00,06/10/2009,14,0.55, ,MGSET_01_2009_2018_PA
2009-10-06:14:00,06/10/2009,15,0.55, ,MGSET_01_2009_2018_PA
2009-10-06:15:00,06/10/2009,16,0.55, ,MGSET_01_2009_2018_PA
2009-10-06:16:00,06/10/2009,17,0.52, ,MGSET_01_2009_2018_PA
2009-10-06:17:00,06/10/2009,18,0.47, ,MGSET_01_2009_2018_PA
2009-10-06:18:00,06/10/2009,19,0.42, ,MGSET_01_2009_2018_PA
2009-10-06:19:00,06/10/2009,20,0.37, ,MGSET_01_2009_2018_PA
2009-10-06:20:00,06/10/2009,21,0.37, ,MGSET_01_2009_2018_PA
2009-10-06:21:00,06/10/2009,22,0.38, ,MGSET_01_2009_2018_PA
2009-10-06:22:00,06/10/2009,23,0.4, ,MGSET_01_2009_2018_PA
2009-10-06:23:00,06/10/2009,24,0.4, ,MGSET_01_2009_2018_PA
2009-10-07:0:00,07/10/2009,1,0.41, ,MGSET_01_2009_2018_PA
2009-10-07:1:00,07/10/2009,2,0.41, ,MGSET_01_2009_2018_PA
2009-10-07:2:00,07/10/2009,3,0.43, ,MGSET_01_2009_2018_PA
2009-10-07:3:00,07/10/2009,4,0.41, ,MGSET_01_2009_2018_PA
2009-10-07:4:00,07/10/2009,5,0.4, ,MGSET_01_2009_2018_PA
2009-10-07:5:00,07/10/2009,6,0.39, ,MGSET_01_2009_2018_PA
2009-10-07:6:00,07/10/2009,7,0.35, ,MGSET_01_2009_2018_PA
2009-10-07:7:00,07/10/2009,8,0.34, ,MGSET_01_2009_2018_PA
2009-10-07:8:00,07/10/2009,9,0.39, ,MGSET_01_2009_2018_PA
2009-10-07:9:00,07/10/2009,10,0.43, ,MGSET_01_2009_2018_PA
2009-10-07:10:00,07/10/2009,11,0.45, ,MGSET_01_2009_2018_PA
2009-10-07:11:00,07/10/2009,12,0.49, ,MGSET_01_2009_2018_PA
2009-10-07:12:00,07/10/2009,13,0.5, ,MGSET_01_2009_2018_PA
2009-10-07:13:00,07/10/2009,14,0.51, ,MGSET_01_2009_2018_PA
2009-10-07:14:00,07/10/2009,15,0.53, ,MGSET_01_2009_2018_PA
2009-10-07:15:00,07/10/2009,16,0.54, ,MGSET_01_2009_2018_PA
2009-10-07:16:00,07/10/2009,17,0.5, ,MGSET_01_2009_2018_PA
2009-10-07:17:00,07/10/2009,18,0.48, ,MGSET_01_2009_2018_PA
2009-10-07:18:00,07/10/2009,19,0.48, ,MGSET_01_2009_2018_PA
2009-10-07:19:00,07/10/2009,20,0.49, ,MGSET_01_2009_2018_PA
2009-10-07:20:00,07/10/2009,21,0.53, ,MGSET_01_2009_2018_PA
2009-10-07:21:00,07/10/2009,22,0.59, ,MGSET_01_2009_2018_PA
2009-10-07:22:00,07/10/2009,23,0.68, ,MGSET_01_2009_2018_PA
2009-10-07:23:00,07/10/2009,24,0.75, ,MGSET_01_2009_2018_PA
2009-10-08:0:00,08/10/2009,1,0.79, ,MGSET_01_2009_2018_PA
2009-10-08:1:00,08/10/2009,2,0.83, ,MGSET_01_2009_2018_PA
2009-10-08:2:00,08/10/2009,3,0.86, ,MGSET_01_2009_2018_PA
2009-10-08:3:00,08/10/2009,4,0.84, ,MGSET_01_2009_2018_PA
2009-10-08:4:00,08/10/2009,5,0.81, ,MGSET_01_2009_2018_PA
2009-10-08:5:00,08/10/2009,6,0.78, ,MGSET_01_2009_2018_PA
2009-10-08:6:00,08/10/2009,7,0.74, ,MGSET_01_2009_2018_PA
2009-10-08:7:00,08/10/2009,8,0.73, ,MGSET_01_2009_2018_PA
2009-10-08:8:00,08/10/2009,9,0.73, ,MGSET_01_2009_2018_PA
2009-10-08:9:00,08/10/2009,10,0.73, ,MGSET_01_2009_2018_PA
2009-10-08:10:00,08/10/2009,11,0.71, ,MGSET_01_2009_2018_PA
2009-10-08:11:00,08/10/2009,12,0.79, ,MGSET_01_2009_2018_PA
2009-10-08:12:00,08/10/2009,13,0.86, ,MGSET_01_2009_2018_PA
2009-10-08:13:00,08/10/2009,14,1.04, ,MGSET_01_2009_2018_PA
2009-10-08:14:00,08/10/2009,15,1.13, ,MGSET_01_2009_2018_PA
2009-10-08:15:00,08/10/2009,16,1.13, ,MGSET_01_2009_2018_PA
2009-10-08:16:00,08/10/2009,17,1.13, ,MGSET_01_2009_2018_PA
2009-10-08:17:00,08/10/2009,18,1.15, ,MGSET_01_2009_2018_PA
2009-10-08:18:00,08/10/2009,19,1.18, ,MGSET_01_2009_2018_PA
2009-10-08:19:00,08/10/2009,20,1.16, ,MGSET_01_2009_2018_PA
2009-10-08:20:00,08/10/2009,21,1.16, ,MGSET_01_2009_2018_PA
2009-10-08:21:00,08/10/2009,22,1.06, ,MGSET_01_2009_2018_PA
2009-10-08:22:00,08/10/2009,23,1.03, ,MGSET_01_2009_2018_PA
2009-10-08:23:00,08/10/2009,24,1.04, ,MGSET_01_2009_2018_PA
2009-10-09:0:00,09/10/2009,1,1.04, ,MGSET_01_2009_2018_PA
2009-10-09:1:00,09/10/2009,2,1, ,MGSET_01_2009_2018_PA
2009-10-09:2:00,09/10/2009,3,0.96, ,MGSET_01_2009_2018_PA
2009-10-09:3:00,09/10/2009,4,0.93, ,MGSET_01_2009_2018_PA
2009-10-09:4:00,09/10/2009,5,0.86, ,MGSET_01_2009_2018_PA
2009-10-09:5:00,09/10/2009,6,0.78, ,MGSET_01_2009_2018_PA
2009-10-09:6:00,09/10/2009,7,0.69, ,MGSET_01_2009_2018_PA
2009-10-09:7:00,09/10/2009,8,0.63, ,MGSET_01_2009_2018_PA
2009-10-09:8:00,09/10/2009,9,0.6, ,MGSET_01_2009_2018_PA
2009-10-09:9:00,09/10/2009,10,0.59, ,MGSET_01_2009_2018_PA
2009-10-09:10:00,09/10/2009,11,0.56, ,MGSET_01_2009_2018_PA
2009-10-09:11:00,09/10/2009,12,0.55, ,MGSET_01_2009_2018_PA
2009-10-12:12:00,12/10/2009,13,0.39, ,MGSET_01_2009_2018_PA
2009-10-12:13:00,12/10/2009,14,0.38, ,MGSET_01_2009_2018_PA
2009-10-12:14:00,12/10/2009,15,0.39, ,MGSET_01_2009_2018_PA
2009-10-12:15:00,12/10/2009,16,0.41, ,MGSET_01_2009_2018_PA
2009-10-12:16:00,12/10/2009,17,0.45, ,MGSET_01_2009_2018_PA
2009-10-12:17:00,12/10/2009,18,0.5, ,MGSET_01_2009_2018_PA
2009-10-12:18:00,12/10/2009,19,0.54, ,MGSET_01_2009_2018_PA
2009-10-12:19:00,12/10/2009,20,0.6, ,MGSET_01_2009_2018_PA
2009-10-12:20:00,12/10/2009,21,0.68, ,MGSET_01_2009_2018_PA
2009-10-12:21:00,12/10/2009,22,0.74, ,MGSET_01_2009_2018_PA
2009-10-12:22:00,12/10/2009,23,0.78, ,MGSET_01_2009_2018_PA
2009-10-12:23:00,12/10/2009,24,0.8, ,MGSET_01_2009_2018_PA
2009-10-13:0:00,13/10/2009,1,0.83, ,MGSET_01_2009_2018_PA
2009-10-13:1:00,13/10/2009,2,0.83, ,MGSET_01_2009_2018_PA
2009-10-13:2:00,13/10/2009,3,0.84, ,MGSET_01_2009_2018_PA
2009-10-13:3:00,13/10/2009,4,0.83, ,MGSET_01_2009_2018_PA
2009-10-13:4:00,13/10/2009,5,0.78, ,MGSET_01_2009_2018_PA
2009-10-13:5:00,13/10/2009,6,0.71, ,MGSET_01_2009_2018_PA
2009-10-13:6:00,13/10/2009,7,0.66, ,MGSET_01_2009_2018_PA
2009-10-13:7:00,13/10/2009,8,0.61, ,MGSET_01_2009_2018_PA
2009-10-13:8:00,13/10/2009,9,0.56, ,MGSET_01_2009_2018_PA
2009-10-13:9:00,13/10/2009,10,0.51, ,MGSET_01_2009_2018_PA
2009-10-13:10:00,13/10/2009,11,0.46, ,MGSET_01_2009_2018_PA
2009-10-13:11:00,13/10/2009,12,0.43, ,MGSET_01_2009_2018_PA
2009-10-13:12:00,13/10/2009,13,0.41, ,MGSET_01_2009_2018_PA
2009-10-13:13:00,13/10/2009,14,0.41, ,MGSET_01_2009_2018_PA
2009-10-13:14:00,13/10/2009,15,0.44, ,MGSET_01_2009_2018_PA
2009-10-13:15:00,13/10/2009,16,0.49, ,MGSET_01_2009_2018_PA
2009-10-13:16:00,13/10/2009,17,0.49, ,MGSET_01_2009_2018_PA
2009-10-13:17:00,13/10/2009,18,0.5, ,MGSET_01_2009_2018_PA
2009-10-13:18:00,13/10/2009,19,0.54, ,MGSET_01_2009_2018_PA
2009-10-13:19:00,13/10/2009,20,0.61, ,MGSET_01_2009_2018_PA
2009-10-13:20:00,13/10/2009,21,0.7, ,MGSET_01_2009_2018_PA
2009-10-13:21:00,13/10/2009,22,0.71, ,MGSET_01_2009_2018_PA
2009-10-13:22:00,13/10/2009,23,0.7, ,MGSET_01_2009_2018_PA
2009-10-13:23:00,13/10/2009,24,0.65, ,MGSET_01_2009_2018_PA
2009-10-14:0:00,14/10/2009,1,0.63, ,MGSET_01_2009_2018_PA
2009-10-14:1:00,14/10/2009,2,0.6, ,MGSET_01_2009_2018_PA
2009-10-14:2:00,14/10/2009,3,0.55, ,MGSET_01_2009_2018_PA
2009-10-14:3:00,14/10/2009,4,0.46, ,MGSET_01_2009_2018_PA
2009-10-14:4:00,14/10/2009,5,0.35, ,MGSET_01_2009_2018_PA
2009-10-14:5:00,14/10/2009,6,0.33, ,MGSET_01_2009_2018_PA
2009-10-14:6:00,14/10/2009,7,0.3, ,MGSET_01_2009_2018_PA
2009-10-14:7:00,14/10/2009,8,0.31, ,MGSET_01_2009_2018_PA
2009-10-14:8:00,14/10/2009,9,0.38, ,MGSET_01_2009_2018_PA
2009-10-14:9:00,14/10/2009,10,0.49, ,MGSET_01_2009_2018_PA
2009-10-14:10:00,14/10/2009,11,0.66, ,MGSET_01_2009_2018_PA
2009-10-14:11:00,14/10/2009,12,0.8, ,MGSET_01_2009_2018_PA
2009-10-14:12:00,14/10/2009,13,0.9, ,MGSET_01_2009_2018_PA
2009-10-14:13:00,14/10/2009,14,0.98, ,MGSET_01_2009_2018_PA
2009-10-14:14:00,14/10/2009,15,1.03, ,MGSET_01_2009_2018_PA
2009-10-14:15:00,14/10/2009,16,1.06, ,MGSET_01_2009_2018_PA
2009-10-14:16:00,14/10/2009,17,1.06, ,MGSET_01_2009_2018_PA
2009-10-14:17:00,14/10/2009,18,1, ,MGSET_01_2009_2018_PA
2009-10-14:18:00,14/10/2009,19,0.88, ,MGSET_01_2009_2018_PA
2009-10-14:19:00,14/10/2009,20,0.8, ,MGSET_01_2009_2018_PA
2009-10-14:20:00,14/10/2009,21,0.81, ,MGSET_01_2009_2018_PA
2009-10-14:21:00,14/10/2009,22,0.84, ,MGSET_01_2009_2018_PA
2009-10-14:22:00,14/10/2009,23,0.88, ,MGSET_01_2009_2018_PA
2009-10-14:23:00,14/10/2009,24,0.9, ,MGSET_01_2009_2018_PA
2009-10-15:0:00,15/10/2009,1,0.9, ,MGSET_01_2009_2018_PA
2009-10-15:1:00,15/10/2009,2,0.91, ,MGSET_01_2009_2018_PA
2009-10-15:2:00,15/10/2009,3,0.93, ,MGSET_01_2009_2018_PA
2009-10-15:3:00,15/10/2009,4,0.91, ,MGSET_01_2009_2018_PA
2009-10-15:4:00,15/10/2009,5,0.85, ,MGSET_01_2009_2018_PA
