"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-09:04:45,05/09/2019,04:45:00,14.54,7.09,9.31,91.5,crbuoy
2019-05-09:05:00,05/09/2019,05:00:00,14.5,7.09,9.29,91.33,crbuoy
2019-05-09:05:15,05/09/2019,05:15:00,14.48,7.09,9.32,91.57,crbuoy
2019-05-09:05:30,05/09/2019,05:30:00,14.48,7.09,9.3,91.36,crbuoy
2019-05-09:05:45,05/09/2019,05:45:00,14.49,7.09,9.32,91.53,crbuoy
2019-05-09:06:00,05/09/2019,06:00:00,14.47,7.09,9.32,91.53,crbuoy
2019-05-09:06:15,05/09/2019,06:15:00,14.46,7.1,9.37,92.01,crbuoy
2019-05-09:06:30,05/09/2019,06:30:00,14.44,7.1,9.37,92,crbuoy
2019-05-09:06:45,05/09/2019,06:45:00,14.43,7.1,9.38,92,crbuoy
2019-05-09:07:00,05/09/2019,07:00:00,14.43,7.09,9.36,91.87,crbuoy
2019-05-09:07:15,05/09/2019,07:15:00,14.43,7.09,9.37,91.89,crbuoy
2019-05-09:07:30,05/09/2019,07:30:00,14.43,7.1,9.37,91.9,crbuoy
2019-05-09:07:45,05/09/2019,07:45:00,14.4,7.07,9.38,91.98,crbuoy
2019-05-09:08:00,05/09/2019,08:00:00,14.41,7.08,9.36,91.77,crbuoy
2019-05-09:08:15,05/09/2019,08:15:00,14.45,7.08,9.43,92.54,crbuoy
2019-05-09:08:30,05/09/2019,08:30:00,14.48,7.07,9.48,93.12,crbuoy
2019-05-09:08:45,05/09/2019,08:45:00,14.46,7.07,9.42,92.52,crbuoy
2019-05-09:09:00,05/09/2019,09:00:00,14.49,7.1,9.45,92.84,crbuoy
2019-05-09:09:15,05/09/2019,09:15:00,14.53,7.09,9.48,93.22,crbuoy
2019-05-09:09:30,05/09/2019,09:30:00,14.63,7.08,9.5,93.62,crbuoy
2019-05-09:09:45,05/09/2019,09:45:00,14.69,7.09,9.49,93.63,crbuoy
2019-05-09:10:00,05/09/2019,10:00:00,14.85,7.12,9.5,94.04,crbuoy
2019-05-09:10:15,05/09/2019,10:15:00,14.96,7.13,9.54,94.72,crbuoy
2019-05-09:10:30,05/09/2019,10:30:00,14.96,7.12,9.5,94.25,crbuoy
2019-05-09:10:45,05/09/2019,10:45:00,14.94,7.11,9.55,94.74,crbuoy
2019-05-09:11:00,05/09/2019,11:00:00,14.89,7.1,9.56,94.72,crbuoy
2019-05-09:11:15,05/09/2019,11:15:00,14.84,7.08,9.56,94.66,crbuoy
2019-05-09:11:30,05/09/2019,11:30:00,15,7.09,9.63,95.61,crbuoy
2019-05-09:11:45,05/09/2019,11:45:00,14.84,7.1,9.62,95.21,crbuoy
2019-05-09:12:00,05/09/2019,12:00:00,14.99,7.11,9.67,96.03,crbuoy
2019-05-09:12:15,05/09/2019,12:15:00,15.19,7.11,9.69,96.68,crbuoy
2019-05-09:12:30,05/09/2019,12:30:00,15.15,7.1,9.7,96.66,crbuoy
2019-05-09:12:45,05/09/2019,12:45:00,15.25,7.12,9.7,96.87,crbuoy
2019-05-09:13:00,05/09/2019,13:00:00,15.35,7.08,9.7,97.07,crbuoy
2019-05-09:13:15,05/09/2019,13:15:00,15.33,7.08,9.72,97.21,crbuoy
2019-05-09:13:30,05/09/2019,13:30:00,15.42,7.08,9.73,97.48,crbuoy
2019-05-09:13:45,05/09/2019,13:45:00,15.46,7.1,9.74,97.68,crbuoy
2019-05-09:14:00,05/09/2019,14:00:00,15.47,7.07,9.76,97.92,crbuoy
2019-05-09:14:15,05/09/2019,14:15:00,15.63,7.11,9.78,98.42,crbuoy
2019-05-09:14:30,05/09/2019,14:30:00,15.44,7.09,9.78,98.06,crbuoy
2019-05-09:14:45,05/09/2019,14:45:00,15.49,7.09,9.71,97.42,crbuoy
2019-05-09:15:00,05/09/2019,15:00:00,15.45,7.06,9.74,97.63,crbuoy
2019-05-09:15:15,05/09/2019,15:15:00,15.43,7.07,9.77,97.94,crbuoy
2019-05-09:15:30,05/09/2019,15:30:00,15.38,7.06,9.76,97.77,crbuoy
2019-05-09:15:45,05/09/2019,15:45:00,15.45,7.11,9.74,97.68,crbuoy
2019-05-09:16:00,05/09/2019,16:00:00,15.47,7.1,9.79,98.2,crbuoy
2019-05-09:16:15,05/09/2019,16:15:00,15.47,7.1,9.77,98.04,crbuoy
2019-05-09:16:30,05/09/2019,16:30:00,15.48,7.1,9.71,97.48,crbuoy
2019-05-09:16:45,05/09/2019,16:45:00,15.41,7.08,9.66,96.81,crbuoy
2019-05-09:17:00,05/09/2019,17:00:00,15.44,7.1,9.72,97.45,crbuoy
2019-05-09:17:15,05/09/2019,17:15:00,15.44,7.09,9.71,97.39,crbuoy
2019-05-09:17:30,05/09/2019,17:30:00,15.36,7.06,9.61,96.2,crbuoy
2019-05-09:17:45,05/09/2019,17:45:00,15.37,7.07,9.67,96.8,crbuoy
2019-05-09:18:00,05/09/2019,18:00:00,15.34,7.08,9.62,96.28,crbuoy
2019-05-09:18:15,05/09/2019,18:15:00,15.29,7.08,9.56,95.58,crbuoy
2019-05-09:18:30,05/09/2019,18:30:00,15.21,7.07,9.56,95.4,crbuoy
2019-05-09:18:45,05/09/2019,18:45:00,14.99,7.05,9.52,94.56,crbuoy
2019-05-09:19:00,05/09/2019,19:00:00,14.92,7.03,9.41,93.35,crbuoy
2019-05-09:19:15,05/09/2019,19:15:00,14.92,7.07,9.45,93.69,crbuoy
2019-05-09:19:30,05/09/2019,19:30:00,14.84,7.06,9.4,93.08,crbuoy
2019-05-09:19:45,05/09/2019,19:45:00,14.77,7.01,9.32,92.1,crbuoy
2019-05-09:20:00,05/09/2019,20:00:00,14.75,7.03,9.33,92.2,crbuoy
2019-05-09:20:15,05/09/2019,20:15:00,14.77,7.04,9.39,92.85,crbuoy
2019-05-09:20:30,05/09/2019,20:30:00,14.78,7.08,9.39,92.83,crbuoy
2019-05-09:20:45,05/09/2019,20:45:00,14.82,7.08,9.38,92.85,crbuoy
