"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2018-05-11:13:15,05/11/2018,13:15:00,19.47,7.23,7.73,84.29,crbuoy2018
2018-05-11:13:30,05/11/2018,13:30:00,19.37,7.23,7.72,84.01,crbuoy2018
2018-05-11:13:45,05/11/2018,13:45:00,19.58,7.26,7.87,85.97,crbuoy2018
2018-05-11:14:00,05/11/2018,14:00:00,19.4,7.23,7.67,83.56,crbuoy2018
2018-05-11:14:15,05/11/2018,14:15:00,19.36,7.23,7.71,83.94,crbuoy2018
2018-05-11:14:30,05/11/2018,14:30:00,19.96,7.29,8.11,89.29,crbuoy2018
2018-05-11:14:45,05/11/2018,14:45:00,20.19,7.32,8.22,90.97,crbuoy2018
2018-05-11:15:00,05/11/2018,15:00:00,20.31,7.33,8.29,91.93,crbuoy2018
2018-05-11:15:15,05/11/2018,15:15:00,20.44,7.34,8.33,92.62,crbuoy2018
2018-05-11:15:30,05/11/2018,15:30:00,20.48,7.36,8.43,93.77,crbuoy2018
2018-05-11:15:45,05/11/2018,15:45:00,20.52,7.35,8.41,93.59,crbuoy2018
2018-05-11:16:00,05/11/2018,16:00:00,20.31,7.33,8.32,92.25,crbuoy2018
2018-05-11:16:15,05/11/2018,16:15:00,20.27,7.31,8.33,92.3,crbuoy2018
2018-05-11:16:30,05/11/2018,16:30:00,20.51,7.38,8.51,94.75,crbuoy2018
2018-05-11:16:45,05/11/2018,16:45:00,20.23,7.33,8.34,92.29,crbuoy2018
2018-05-11:17:00,05/11/2018,17:00:00,20.44,7.35,8.45,93.98,crbuoy2018
2018-05-11:17:15,05/11/2018,17:15:00,20.46,7.35,8.44,93.91,crbuoy2018
2018-05-11:17:30,05/11/2018,17:30:00,20.23,7.31,8.28,91.67,crbuoy2018
2018-05-11:17:45,05/11/2018,17:45:00,20.18,7.3,8.28,91.61,crbuoy2018
2018-05-11:18:00,05/11/2018,18:00:00,20.27,7.31,8.33,92.25,crbuoy2018
2018-05-11:18:15,05/11/2018,18:15:00,20.25,7.31,8.22,91.04,crbuoy2018
2018-05-11:18:30,05/11/2018,18:30:00,20.22,7.3,8.24,91.24,crbuoy2018
2018-05-11:18:45,05/11/2018,18:45:00,20.23,7.32,8.35,92.41,crbuoy2018
2018-05-11:19:00,05/11/2018,19:00:00,20.09,7.29,8.19,90.43,crbuoy2018
2018-05-11:19:15,05/11/2018,19:15:00,19.99,7.27,8.09,89.16,crbuoy2018
2018-05-11:19:30,05/11/2018,19:30:00,20,7.27,8.11,89.43,crbuoy2018
2018-05-11:19:45,05/11/2018,19:45:00,19.98,7.26,8.07,88.84,crbuoy2018
2018-05-11:20:00,05/11/2018,20:00:00,19.9,7.26,8.03,88.37,crbuoy2018
2018-05-11:20:15,05/11/2018,20:15:00,19.84,7.26,8.07,88.71,crbuoy2018
2018-05-11:20:30,05/11/2018,20:30:00,19.75,7.25,8,87.69,crbuoy2018
2018-05-11:20:45,05/11/2018,20:45:00,19.7,7.23,7.87,86.2,crbuoy2018
2018-05-11:21:00,05/11/2018,21:00:00,19.63,7.21,7.8,85.35,crbuoy2018
2018-05-11:21:15,05/11/2018,21:15:00,19.6,7.21,7.8,85.26,crbuoy2018
2018-05-11:21:30,05/11/2018,21:30:00,19.58,7.21,7.74,84.61,crbuoy2018
2018-05-11:21:45,05/11/2018,21:45:00,19.54,7.2,7.67,83.79,crbuoy2018
2018-05-11:22:00,05/11/2018,22:00:00,19.52,7.19,7.64,83.41,crbuoy2018
2018-05-11:22:15,05/11/2018,22:15:00,19.5,7.19,7.56,82.52,crbuoy2018
2018-05-11:22:30,05/11/2018,22:30:00,19.49,7.19,7.55,82.37,crbuoy2018
2018-05-11:22:45,05/11/2018,22:45:00,19.46,7.19,7.51,81.85,crbuoy2018
2018-05-11:23:00,05/11/2018,23:00:00,19.46,7.18,7.42,80.9,crbuoy2018
2018-05-11:23:15,05/11/2018,23:15:00,19.46,7.19,7.53,82.09,crbuoy2018
2018-05-11:23:30,05/11/2018,23:30:00,19.44,7.19,7.49,81.61,crbuoy2018
2018-05-11:23:45,05/11/2018,23:45:00,19.42,7.18,7.45,81.19,crbuoy2018
2018-05-12:00:00,05/12/2018,00:00:00,19.4,7.17,7.37,80.24,crbuoy2018
2018-05-12:00:15,05/12/2018,00:15:00,19.38,7.16,7.32,79.65,crbuoy2018
2018-05-12:00:30,05/12/2018,00:30:00,19.36,7.19,7.49,81.47,crbuoy2018
2018-05-12:00:45,05/12/2018,00:45:00,19.34,7.18,7.47,81.25,crbuoy2018
2018-05-12:01:00,05/12/2018,01:00:00,19.32,7.18,7.43,80.82,crbuoy2018
2018-05-12:01:15,05/12/2018,01:15:00,19.3,7.18,7.47,81.21,crbuoy2018
2018-05-12:01:30,05/12/2018,01:30:00,19.25,7.18,7.47,81.07,crbuoy2018
2018-05-12:01:45,05/12/2018,01:45:00,19.25,7.18,7.44,80.74,crbuoy2018
2018-05-12:02:00,05/12/2018,02:00:00,19.22,7.19,7.5,81.43,crbuoy2018
2018-05-12:02:15,05/12/2018,02:15:00,19.2,7.18,7.44,80.73,crbuoy2018
2018-05-12:02:30,05/12/2018,02:30:00,19.18,7.18,7.39,80.12,crbuoy2018
2018-05-12:02:45,05/12/2018,02:45:00,19.15,7.18,7.46,80.81,crbuoy2018
2018-05-12:03:00,05/12/2018,03:00:00,19.13,7.18,7.44,80.57,crbuoy2018
2018-05-12:03:15,05/12/2018,03:15:00,19.11,7.14,7.11,77,crbuoy2018
2018-05-12:03:30,05/12/2018,03:30:00,19.08,7.16,7.35,79.5,crbuoy2018
2018-05-12:03:45,05/12/2018,03:45:00,19.08,7.19,7.54,81.62,crbuoy2018
2018-05-12:04:00,05/12/2018,04:00:00,19.1,7.19,7.52,81.43,crbuoy2018
2018-05-12:04:15,05/12/2018,04:15:00,19.1,7.18,7.52,81.4,crbuoy2018
2018-05-12:04:30,05/12/2018,04:30:00,19.08,7.18,7.52,81.34,crbuoy2018
2018-05-12:04:45,05/12/2018,04:45:00,19.06,7.18,7.49,81.04,crbuoy2018
2018-05-12:05:00,05/12/2018,05:00:00,19.07,7.17,7.45,80.63,crbuoy2018
2018-05-12:05:15,05/12/2018,05:15:00,19.06,7.17,7.43,80.31,crbuoy2018
2018-05-12:05:30,05/12/2018,05:30:00,19.06,7.17,7.39,79.94,crbuoy2018
2018-05-12:05:45,05/12/2018,05:45:00,19.03,7.16,7.35,79.47,crbuoy2018
2018-05-12:06:00,05/12/2018,06:00:00,18.99,7.16,7.29,78.8,crbuoy2018
2018-05-12:06:15,05/12/2018,06:15:00,19,7.16,7.32,79.06,crbuoy2018
2018-05-12:06:30,05/12/2018,06:30:00,18.93,7.16,7.32,78.92,crbuoy2018
2018-05-12:06:45,05/12/2018,06:45:00,19,7.15,7.23,78.13,crbuoy2018
2018-05-12:07:00,05/12/2018,07:00:00,18.97,7.15,7.26,78.39,crbuoy2018
2018-05-12:07:15,05/12/2018,07:15:00,18.94,7.15,7.22,77.88,crbuoy2018
2018-05-12:07:30,05/12/2018,07:30:00,18.93,7.15,7.18,77.41,crbuoy2018
2018-05-12:07:45,05/12/2018,07:45:00,18.92,7.15,7.17,77.32,crbuoy2018
2018-05-12:08:00,05/12/2018,08:00:00,18.87,7.14,7.19,77.43,crbuoy2018
2018-05-12:08:15,05/12/2018,08:15:00,18.88,7.14,7.15,77.1,crbuoy2018
2018-05-12:08:30,05/12/2018,08:30:00,18.87,7.14,7.12,76.67,crbuoy2018
2018-05-12:08:45,05/12/2018,08:45:00,18.86,7.14,7.09,76.34,crbuoy2018
2018-05-12:09:00,05/12/2018,09:00:00,18.83,7.15,7.2,77.45,crbuoy2018
2018-05-12:09:15,05/12/2018,09:15:00,18.83,7.15,7.14,76.89,crbuoy2018
2018-05-12:09:30,05/12/2018,09:30:00,18.74,7.15,7.18,77.15,crbuoy2018
2018-05-12:09:45,05/12/2018,09:45:00,18.78,7.15,7.17,77.07,crbuoy2018
2018-05-12:10:00,05/12/2018,10:00:00,18.78,7.15,7.14,76.81,crbuoy2018
2018-05-12:10:15,05/12/2018,10:15:00,18.77,7.15,7.1,76.34,crbuoy2018
2018-05-12:10:30,05/12/2018,10:30:00,18.75,7.14,7.07,76.01,crbuoy2018
2018-05-12:10:45,05/12/2018,10:45:00,18.76,7.13,7.02,75.43,crbuoy2018
2018-05-12:11:00,05/12/2018,11:00:00,18.74,7.14,6.99,75.15,crbuoy2018
2018-05-12:11:15,05/12/2018,11:15:00,18.75,7.13,6.92,74.39,crbuoy2018
2018-05-12:11:30,05/12/2018,11:30:00,18.75,7.13,6.89,74.03,crbuoy2018
2018-05-12:11:45,05/12/2018,11:45:00,18.74,7.12,6.9,74.19,crbuoy2018
2018-05-12:12:00,05/12/2018,12:00:00,18.73,7.13,6.89,74.03,crbuoy2018
2018-05-12:12:15,05/12/2018,12:15:00,18.72,7.12,6.9,74.09,crbuoy2018
2018-05-12:12:30,05/12/2018,12:30:00,18.71,7.14,6.96,74.78,crbuoy2018
2018-05-12:12:45,05/12/2018,12:45:00,18.71,7.14,6.95,74.61,crbuoy2018
2018-05-12:13:00,05/12/2018,13:00:00,18.75,7.13,6.89,74.1,crbuoy2018
2018-05-12:13:15,05/12/2018,13:15:00,18.76,7.12,6.83,73.45,crbuoy2018
2018-05-12:13:30,05/12/2018,13:30:00,18.77,7.12,6.81,73.26,crbuoy2018
2018-05-12:13:45,05/12/2018,13:45:00,18.78,7.13,6.9,74.24,crbuoy2018
2018-05-12:14:00,05/12/2018,14:00:00,18.76,7.15,7.08,76.1,crbuoy2018
2018-05-12:14:15,05/12/2018,14:15:00,18.78,7.15,7.1,76.32,crbuoy2018
2018-05-12:14:30,05/12/2018,14:30:00,18.78,7.14,6.97,74.94,crbuoy2018
2018-05-12:14:45,05/12/2018,14:45:00,18.78,7.14,7,75.34,crbuoy2018
2018-05-12:15:00,05/12/2018,15:00:00,18.78,7.14,7.01,75.45,crbuoy2018
2018-05-12:15:15,05/12/2018,15:15:00,18.77,7.14,7.01,75.4,crbuoy2018
2018-05-12:15:30,05/12/2018,15:30:00,18.77,7.14,7.03,75.62,crbuoy2018
2018-05-12:15:45,05/12/2018,15:45:00,18.76,7.15,7.09,76.18,crbuoy2018
2018-05-12:16:00,05/12/2018,16:00:00,18.75,7.14,7.03,75.53,crbuoy2018
2018-05-12:16:15,05/12/2018,16:15:00,18.75,7.14,7.06,75.84,crbuoy2018
2018-05-12:16:30,05/12/2018,16:30:00,18.73,7.14,7.05,75.78,crbuoy2018
2018-05-12:16:45,05/12/2018,16:45:00,18.72,7.14,7.07,75.93,crbuoy2018
2018-05-12:17:00,05/12/2018,17:00:00,18.71,7.14,7.05,75.69,crbuoy2018
2018-05-12:17:15,05/12/2018,17:15:00,18.67,7.15,7.08,76.04,crbuoy2018
2018-05-12:17:30,05/12/2018,17:30:00,18.65,7.15,7.12,76.37,crbuoy2018
2018-05-12:17:45,05/12/2018,17:45:00,18.65,7.15,7.11,76.27,crbuoy2018
2018-05-12:18:00,05/12/2018,18:00:00,18.66,7.15,7.08,75.93,crbuoy2018
2018-05-12:18:15,05/12/2018,18:15:00,18.63,7.15,7.09,75.98,crbuoy2018
2018-05-12:18:30,05/12/2018,18:30:00,18.64,7.14,7.1,76.11,crbuoy2018
2018-05-12:18:45,05/12/2018,18:45:00,18.63,7.14,7.07,75.85,crbuoy2018
2018-05-12:19:00,05/12/2018,19:00:00,18.62,7.15,7.06,75.69,crbuoy2018
2018-05-12:19:15,05/12/2018,19:15:00,18.61,7.14,7.05,75.62,crbuoy2018
2018-05-12:19:30,05/12/2018,19:30:00,18.6,7.14,7.05,75.51,crbuoy2018
2018-05-12:19:45,05/12/2018,19:45:00,18.58,7.15,7.1,76.05,crbuoy2018
2018-05-12:20:00,05/12/2018,20:00:00,18.58,7.14,7.09,76,crbuoy2018
2018-05-12:20:15,05/12/2018,20:15:00,18.55,7.14,7.09,75.87,crbuoy2018
2018-05-12:20:30,05/12/2018,20:30:00,18.56,7.13,7.04,75.4,crbuoy2018
2018-05-12:20:45,05/12/2018,20:45:00,18.54,7.14,7.03,75.27,crbuoy2018
2018-05-12:21:00,05/12/2018,21:00:00,18.54,7.13,7,74.98,crbuoy2018
2018-05-12:21:15,05/12/2018,21:15:00,18.5,7.14,7.02,75.04,crbuoy2018
2018-05-12:21:30,05/12/2018,21:30:00,18.5,7.13,6.98,74.7,crbuoy2018
2018-05-12:21:45,05/12/2018,21:45:00,18.51,7.14,6.97,74.59,crbuoy2018
2018-05-12:22:00,05/12/2018,22:00:00,18.5,7.14,7,74.84,crbuoy2018
2018-05-12:22:15,05/12/2018,22:15:00,18.48,7.14,7,74.88,crbuoy2018
2018-05-12:22:30,05/12/2018,22:30:00,18.47,7.13,7,74.88,crbuoy2018
2018-05-12:22:45,05/12/2018,22:45:00,18.47,7.14,6.99,74.69,crbuoy2018
2018-05-12:23:00,05/12/2018,23:00:00,18.47,7.13,7,74.78,crbuoy2018
2018-05-12:23:15,05/12/2018,23:15:00,18.46,7.13,6.91,73.86,crbuoy2018
2018-05-12:23:30,05/12/2018,23:30:00,18.45,7.13,6.94,74.2,crbuoy2018
2018-05-12:23:45,05/12/2018,23:45:00,18.45,7.14,6.97,74.48,crbuoy2018
2018-05-13:00:00,05/13/2018,00:00:00,18.44,7.13,6.96,74.36,crbuoy2018
2018-05-13:00:15,05/13/2018,00:15:00,18.43,7.13,6.96,74.29,crbuoy2018
2018-05-13:00:30,05/13/2018,00:30:00,18.42,7.13,6.95,74.2,crbuoy2018
2018-05-13:00:45,05/13/2018,00:45:00,18.43,7.13,6.91,73.78,crbuoy2018
2018-05-13:01:00,05/13/2018,01:00:00,18.42,7.13,6.92,73.85,crbuoy2018
2018-05-13:01:15,05/13/2018,01:15:00,18.41,7.12,6.88,73.46,crbuoy2018
2018-05-13:01:30,05/13/2018,01:30:00,18.39,7.12,6.84,73.04,crbuoy2018
2018-05-13:01:45,05/13/2018,01:45:00,18.38,7.13,6.92,73.79,crbuoy2018
2018-05-13:02:00,05/13/2018,02:00:00,18.37,7.13,6.88,73.37,crbuoy2018
2018-05-13:02:15,05/13/2018,02:15:00,18.35,7.13,6.92,73.84,crbuoy2018
2018-05-13:02:30,05/13/2018,02:30:00,18.32,7.14,6.97,74.32,crbuoy2018
2018-05-13:02:45,05/13/2018,02:45:00,18.33,7.12,6.88,73.36,crbuoy2018
2018-05-13:03:00,05/13/2018,03:00:00,18.3,7.13,6.91,73.59,crbuoy2018
2018-05-13:03:15,05/13/2018,03:15:00,18.31,7.13,6.93,73.82,crbuoy2018
2018-05-13:03:30,05/13/2018,03:30:00,18.27,7.13,6.94,73.84,crbuoy2018
2018-05-13:03:45,05/13/2018,03:45:00,18.27,7.13,6.93,73.81,crbuoy2018
2018-05-13:04:00,05/13/2018,04:00:00,18.28,7.13,6.9,73.43,crbuoy2018
2018-05-13:04:15,05/13/2018,04:15:00,18.27,7.12,6.88,73.28,crbuoy2018
2018-05-13:04:30,05/13/2018,04:30:00,18.24,7.12,6.86,73.04,crbuoy2018
2018-05-13:04:45,05/13/2018,04:45:00,18.26,7.12,6.84,72.76,crbuoy2018
2018-05-13:05:00,05/13/2018,05:00:00,18.25,7.12,6.8,72.39,crbuoy2018
2018-05-13:05:15,05/13/2018,05:15:00,18.23,7.12,6.8,72.3,crbuoy2018
2018-05-13:05:30,05/13/2018,05:30:00,18.22,7.11,6.77,72.04,crbuoy2018
2018-05-13:05:45,05/13/2018,05:45:00,18.21,7.11,6.76,71.83,crbuoy2018
2018-05-13:06:00,05/13/2018,06:00:00,18.19,7.12,6.79,72.17,crbuoy2018
2018-05-13:06:15,05/13/2018,06:15:00,18.17,7.11,6.76,71.87,crbuoy2018
2018-05-13:06:30,05/13/2018,06:30:00,18.17,7.11,6.76,71.84,crbuoy2018
2018-05-13:06:45,05/13/2018,06:45:00,18.18,7.11,6.75,71.75,crbuoy2018
2018-05-13:07:00,05/13/2018,07:00:00,18.14,7.12,6.75,71.64,crbuoy2018
2018-05-13:07:15,05/13/2018,07:15:00,18.13,7.12,6.76,71.73,crbuoy2018
2018-05-13:07:30,05/13/2018,07:30:00,18.13,7.11,6.76,71.81,crbuoy2018
2018-05-13:07:45,05/13/2018,07:45:00,18.11,7.12,6.79,71.99,crbuoy2018
2018-05-13:08:00,05/13/2018,08:00:00,18.1,7.12,6.75,71.63,crbuoy2018
2018-05-13:08:15,05/13/2018,08:15:00,18.06,7.12,6.79,71.98,crbuoy2018
2018-05-13:08:30,05/13/2018,08:30:00,18.06,7.12,6.77,71.78,crbuoy2018
2018-05-13:08:45,05/13/2018,08:45:00,18.06,7.12,6.78,71.86,crbuoy2018
2018-05-13:09:00,05/13/2018,09:00:00,18.06,7.12,6.77,71.8,crbuoy2018
2018-05-13:09:15,05/13/2018,09:15:00,18.07,7.12,6.78,71.84,crbuoy2018
2018-05-13:09:30,05/13/2018,09:30:00,18.08,7.12,6.84,72.57,crbuoy2018
2018-05-13:09:45,05/13/2018,09:45:00,18.08,7.12,6.85,72.61,crbuoy2018
2018-05-13:10:00,05/13/2018,10:00:00,18.07,7.14,6.89,73.04,crbuoy2018
2018-05-13:10:15,05/13/2018,10:15:00,18.08,7.14,6.89,73.11,crbuoy2018
2018-05-13:10:30,05/13/2018,10:30:00,18.08,7.14,6.94,73.6,crbuoy2018
2018-05-13:10:45,05/13/2018,10:45:00,18.09,7.14,6.92,73.44,crbuoy2018
2018-05-13:11:00,05/13/2018,11:00:00,18.09,7.14,6.94,73.61,crbuoy2018
2018-05-13:11:15,05/13/2018,11:15:00,18.09,7.14,6.89,73.1,crbuoy2018
2018-05-13:11:30,05/13/2018,11:30:00,18.08,7.13,6.82,72.3,crbuoy2018
2018-05-13:11:45,05/13/2018,11:45:00,18.08,7.13,6.84,72.54,crbuoy2018
2018-05-13:12:00,05/13/2018,12:00:00,18.09,7.13,6.88,72.97,crbuoy2018
2018-05-13:12:15,05/13/2018,12:15:00,18.1,7.13,6.81,72.21,crbuoy2018
2018-05-13:12:30,05/13/2018,12:30:00,18.1,7.13,6.79,72.05,crbuoy2018
2018-05-13:12:45,05/13/2018,12:45:00,18.1,7.12,6.8,72.19,crbuoy2018
2018-05-13:13:00,05/13/2018,13:00:00,18.12,7.14,6.92,73.48,crbuoy2018
