"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2017-05-12:06:45,05/12/2017,06:45:00,14.14,7.08,8,78.07,crbuoy2017
2017-05-12:07:00,05/12/2017,07:00:00,14.12,7.08,8.01,78.14,crbuoy2017
2017-05-12:07:15,05/12/2017,07:15:00,14.13,7.09,8.02,78.21,crbuoy2017
2017-05-12:07:30,05/12/2017,07:30:00,14.15,7.07,8.04,78.43,crbuoy2017
2017-05-12:07:45,05/12/2017,07:45:00,14.15,7.07,8.01,78.22,crbuoy2017
2017-05-12:08:00,05/12/2017,08:00:00,14.18,7.07,8.1,79.15,crbuoy2017
2017-05-12:08:15,05/12/2017,08:15:00,14.17,7.09,8.13,79.34,crbuoy2017
2017-05-12:08:30,05/12/2017,08:30:00,14.27,7.1,8.13,79.59,crbuoy2017
2017-05-12:08:45,05/12/2017,08:45:00,14.24,7.11,8.12,79.41,crbuoy2017
2017-05-12:09:00,05/12/2017,09:00:00,14.25,7.1,8.13,79.46,crbuoy2017
2017-05-12:09:15,05/12/2017,09:15:00,14.25,7.11,8.13,79.48,crbuoy2017
2017-05-12:09:30,05/12/2017,09:30:00,14.25,7.11,8.15,79.68,crbuoy2017
2017-05-12:09:45,05/12/2017,09:45:00,14.27,7.11,8.17,79.93,crbuoy2017
2017-05-12:10:00,05/12/2017,10:00:00,14.31,7.11,8.19,80.23,crbuoy2017
2017-05-12:10:15,05/12/2017,10:15:00,14.32,7.05,8.17,80.02,crbuoy2017
2017-05-12:10:30,05/12/2017,10:30:00,14.29,7.04,8.14,79.68,crbuoy2017
2017-05-12:10:45,05/12/2017,10:45:00,14.29,7.05,8.11,79.41,crbuoy2017
2017-05-12:11:00,05/12/2017,11:00:00,14.29,7.05,8.12,79.52,crbuoy2017
2017-05-12:11:15,05/12/2017,11:15:00,14.36,7.07,8.21,80.48,crbuoy2017
2017-05-12:11:30,05/12/2017,11:30:00,14.38,7.06,8.22,80.6,crbuoy2017
2017-05-12:11:45,05/12/2017,11:45:00,14.42,7.08,8.23,80.79,crbuoy2017
2017-05-12:12:00,05/12/2017,12:00:00,14.42,7.06,8.2,80.52,crbuoy2017
2017-05-12:12:15,05/12/2017,12:15:00,14.44,7.06,8.16,80.13,crbuoy2017
2017-05-12:12:30,05/12/2017,12:30:00,14.41,7.06,8.1,79.45,crbuoy2017
2017-05-12:12:45,05/12/2017,12:45:00,14.33,7.05,8.12,79.6,crbuoy2017
2017-05-12:13:00,05/12/2017,13:00:00,14.53,7.06,8.16,80.34,crbuoy2017
2017-05-12:13:15,05/12/2017,13:15:00,14.66,7.06,8.2,80.9,crbuoy2017
2017-05-12:13:30,05/12/2017,13:30:00,14.76,7.06,8.23,81.43,crbuoy2017
2017-05-12:13:45,05/12/2017,13:45:00,14.86,7.07,8.25,81.82,crbuoy2017
2017-05-12:14:00,05/12/2017,14:00:00,14.95,7.07,8.26,82,crbuoy2017
2017-05-12:14:15,05/12/2017,14:15:00,15.04,7.06,8.29,82.45,crbuoy2017
2017-05-12:14:30,05/12/2017,14:30:00,15.11,7.07,8.3,82.69,crbuoy2017
2017-05-12:14:45,05/12/2017,14:45:00,15.18,7.06,8.32,82.98,crbuoy2017
2017-05-12:15:00,05/12/2017,15:00:00,15.28,7.08,8.34,83.45,crbuoy2017
2017-05-12:15:15,05/12/2017,15:15:00,15.21,7.07,8.34,83.26,crbuoy2017
2017-05-12:15:30,05/12/2017,15:30:00,15.22,7.09,8.36,83.51,crbuoy2017
2017-05-12:15:45,05/12/2017,15:45:00,15.01,7.07,8.33,82.85,crbuoy2017
2017-05-12:16:00,05/12/2017,16:00:00,15.18,7.09,8.36,83.42,crbuoy2017
2017-05-12:16:15,05/12/2017,16:15:00,15.23,7.08,8.41,84.02,crbuoy2017
2017-05-12:16:30,05/12/2017,16:30:00,15.18,7.09,8.41,83.9,crbuoy2017
2017-05-12:16:45,05/12/2017,16:45:00,15.25,7.1,8.45,84.5,crbuoy2017
2017-05-12:17:00,05/12/2017,17:00:00,15.18,7.09,8.39,83.77,crbuoy2017
2017-05-12:17:15,05/12/2017,17:15:00,15.24,7.12,8.43,84.29,crbuoy2017
2017-05-12:17:30,05/12/2017,17:30:00,15.1,7.11,8.41,83.83,crbuoy2017
2017-05-12:17:45,05/12/2017,17:45:00,15.04,7.08,8.36,83.15,crbuoy2017
2017-05-12:18:00,05/12/2017,18:00:00,14.95,7.09,8.34,82.8,crbuoy2017
2017-05-12:18:15,05/12/2017,18:15:00,14.93,7.1,8.33,82.66,crbuoy2017
2017-05-12:18:30,05/12/2017,18:30:00,14.84,7.06,8.25,81.77,crbuoy2017
